Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
australia,01/01/1970,62.3,55.1,59.9,,,0,,19.5,,,97.5,82.74,Overcast
australia,01/02/1970,53.9,50.3,51.9,,,0,,18.3,,,93.8,78.11,Overcast
australia,01/03/1970,56,48.8,52.3,43.4,,0,,15,,,100,85.87,Overcast
australia,01/04/1970,64.1,51.2,56.3,,,0,,16.1,,,91.3,83.15,Overcast
australia,01/05/1970,72.2,50.3,61.4,,,0,,11.4,,,75,71.98,Partially cloudy
australia,01/06/1970,73.1,54.2,63.3,,,0,,13.9,,,55,66.45,Partially cloudy
australia,01/07/1970,70.1,55.1,62.4,,,0,,13.9,,,70,65.62,Partially cloudy
australia,01/08/1970,74.4,56.6,63.4,,,0,,11.4,,,75,66.44,Partially cloudy
australia,01/09/1970,75.8,59.1,67.1,,,0,,4.7,,,80,66.27,Overcast
australia,01/10/1970,84.8,58.7,71.8,,84.5,0,,13.9,,,92.5,68.94,Overcast
australia,01/11/1970,73.1,61.1,66,,,0,,12.8,,,67.5,86.39,Partially cloudy
australia,01/12/1970,73.1,55.1,65.2,,,0,,32.2,,,36.3,58.14,Partially cloudy
australia,01/13/1970,71,52.1,61.8,,,0,,19.5,,,18.8,46.32,Clear
australia,01/14/1970,69.5,53,60.6,,,0,,12.8,,,63.8,59.94,Partially cloudy
australia,01/15/1970,69.9,51.5,61.3,,,0,,12.8,,,47.5,60.86,Partially cloudy
australia,01/16/1970,71.3,59.1,64.6,,,0,,10.3,,,96.3,74.63,Overcast
australia,01/17/1970,85.7,57.3,70.6,,85.8,0,,18.3,,,27.5,68.05,Partially cloudy
australia,01/18/1970,86.6,61.4,70.5,,85.6,0,,13.9,,,51.3,70.88,Partially cloudy
australia,01/19/1970,83.9,61.1,70.2,,81.5,0,,17.2,,,52.5,55.86,Partially cloudy
australia,01/20/1970,80,60.5,69.1,,,0,,10.3,,,56.3,62.06,Partially cloudy
australia,01/21/1970,71,58.7,63.4,,,0,,17.2,,,75,72.07,Partially cloudy
australia,01/22/1970,66.8,54.2,60.1,,,0,,13.9,,,72.5,62.3,Partially cloudy
australia,01/23/1970,78.2,45.2,62.6,,,0,,10.3,,,43.8,55.8,Partially cloudy
australia,01/24/1970,80,52.4,67.5,,,0,,8.1,,,61.3,59.39,Partially cloudy
australia,01/25/1970,88.4,59.6,70.3,,85.4,0,,17.2,,,72.5,65.61,Partially cloudy
australia,01/26/1970,82.7,59.3,69.6,,82.7,0,,12.8,,,77.5,67.02,Overcast
australia,01/27/1970,72.6,62,66.6,,,0,,13.9,,,82.5,70.56,Overcast
australia,01/28/1970,74,59.1,65.1,,,0,,16.1,,,45,67.49,Partially cloudy
australia,01/29/1970,73.1,55.1,64,,,0,,16.1,,,33.8,64.77,Partially cloudy
australia,01/30/1970,74,58.2,65.8,,,0,,11.4,,,68.8,66.11,Partially cloudy
australia,01/31/1970,86.1,55.1,71.2,,83.3,0,,13.9,,,57.5,57.62,Partially cloudy
australia,02/01/1970,71,61.1,67,,,0,,16.1,,,98.8,66.77,Overcast
australia,02/02/1970,74.9,56,64.8,,,0,,10.3,,,62.5,62.23,Partially cloudy
australia,02/03/1970,83.6,52.4,68.9,,81.6,0,,5.8,,,25,63.58,Clear
australia,02/04/1970,89.3,56,73.9,,86,0,,17.2,,,12.5,56.76,Clear
australia,02/05/1970,93.5,56,75.5,,89.6,0,,12.8,,,27.5,46.8,Partially cloudy
australia,02/06/1970,93.8,58.7,77.1,,90,0,,12.8,,,37.5,44.14,Partially cloudy
australia,02/07/1970,83,61.1,71.3,,81.4,0,,18.3,,,37.5,55.79,Partially cloudy
australia,02/08/1970,79.1,63.6,69.7,,,0,,8.1,,,61.3,69.82,Partially cloudy
australia,02/09/1970,92,59.3,75.2,,90.7,0,,13.9,,,30,64.99,Partially cloudy
australia,02/10/1970,81.8,62.9,73.4,,81.3,0,,11.4,,,63.8,59.86,Partially cloudy
australia,02/11/1970,88.1,61.1,72.6,,86,0,,11.4,,,66.3,66.7,Partially cloudy
australia,02/12/1970,83,62.3,68.3,,82.6,0,,17.2,,,96.3,76.89,Overcast
australia,02/13/1970,73.1,56,65.8,,,0,,11.4,,,71.3,71.26,Partially cloudy
australia,02/14/1970,83,60.2,69.2,,82.6,0,,8.1,,,70,68.96,Partially cloudy
australia,02/15/1970,74,59.3,66.2,,,0,,11.4,,,63.8,78.81,Partially cloudy
australia,02/16/1970,72.5,57.8,63.9,,,0,,20.8,,,12.6,55.05,Clear
australia,02/17/1970,71.7,44.9,58.2,,,0,,13.9,,,16.3,52.63,Clear
australia,02/18/1970,81.2,42.2,62,,79.1,0,,20.8,,,25,50.71,Clear
australia,02/19/1970,89.7,50.1,70.2,,85.6,0,,18.3,,,33.7,44.92,Partially cloudy
australia,02/20/1970,70.9,56,63.9,,,0,,17.2,,,0,41.07,Clear
australia,02/21/1970,73.1,53,62.8,,,0,,8,,,61.1,66.52,Partially cloudy
australia,02/22/1970,71,60.2,64.9,,,0,,5.9,,,95,78.59,Overcast
australia,02/23/1970,71,60.2,64.5,,,0,,10.3,,,73.8,78.76,Partially cloudy
australia,02/24/1970,73.1,56,64,,,0,,15,,,42.5,67.42,Partially cloudy
australia,02/25/1970,80.3,58.7,66.9,,80.1,0,,13.8,,,81.3,64.89,Overcast
australia,02/26/1970,75.8,55.1,64.1,,,0,,9.2,,,51.3,68.43,Partially cloudy
australia,02/27/1970,74.4,50.3,61.3,,,0,,12.8,,,68.8,73.1,Partially cloudy
australia,02/28/1970,67.4,53.9,60.3,,,0,,12.8,,,52.6,62.78,Partially cloudy
australia,03/01/1970,69.2,48.8,60.3,,,0,,17.2,,,47.5,65.23,Partially cloudy
australia,03/02/1970,71,59.1,64.1,,,0,,11.4,,,60,61.65,Partially cloudy
australia,03/03/1970,70.1,49.4,60.8,,,0,,10.3,,,26.2,68.37,Partially cloudy
australia,03/04/1970,78.2,43.1,62.8,,,0,,4.7,,,17.5,61.81,Clear
australia,03/05/1970,79.9,46.1,64.4,,,0,,17.2,,,60,61.93,Partially cloudy
australia,03/06/1970,65,57.5,61.3,,,0,,2.2,,,90,80.1,Overcast
australia,03/07/1970,74,46.7,61.3,,,0,,10.3,,,36.3,70.96,Partially cloudy
australia,03/08/1970,79,53,65.3,,,0,,6.9,,,16.3,64.37,Clear
australia,03/09/1970,79.9,59.3,68.3,,,0,,17.2,,,33.9,61.48,Partially cloudy
australia,03/10/1970,78.1,46.1,62.7,,,0,,17.2,,,13.8,53.92,Clear
australia,03/11/1970,70.1,56,63.1,,,0,,24.2,,,16.3,41.19,Clear
australia,03/12/1970,65.4,47,55.1,46,,0,,17.2,,,20.1,42.08,Clear
australia,03/13/1970,72.8,35,54.7,,,0,,2.2,,,2.5,59.26,Clear
australia,03/14/1970,75.8,46.1,60.7,,,0,,10.3,,,57.5,64.8,Partially cloudy
australia,03/15/1970,69.5,53.9,60.9,,,0,,5.8,,,73.7,68.94,Partially cloudy
australia,03/16/1970,73.1,55.1,64.4,,,0,,9.2,,,87.5,69.17,Overcast
australia,03/17/1970,77,60.2,66.6,,,0,,6.9,,,77.5,66.46,Overcast
australia,03/18/1970,81.7,53.9,67.9,,80.8,0,,6.9,,,46.3,64.58,Partially cloudy
australia,03/19/1970,79,51.2,63.3,,,0,,10.3,,,51.3,72.53,Partially cloudy
australia,03/20/1970,60.2,56,58.2,,,0,,19.5,,,85,77.85,Overcast
australia,03/21/1970,63.8,50.1,55.9,,,0,,20.8,,,45,69.04,Partially cloudy
australia,03/22/1970,59.1,45.2,52.5,,,0,,6.9,,,86.2,82.85,Overcast
australia,03/23/1970,61.1,52.1,55.7,,,0,,5.8,,,95,85.04,Overcast
australia,03/24/1970,68,49.7,58.2,,,0,,15,,,77.5,75.93,Overcast
australia,03/25/1970,74.5,42.2,58,,,0,,5.8,,,8.8,65.69,Clear
australia,03/26/1970,78.2,46.1,60.7,,,0,,8,,,11.3,64.62,Clear
australia,03/27/1970,77.1,45.2,61.5,,,0,,7,,,52.5,61.55,Partially cloudy
australia,03/28/1970,78.9,47.9,62.8,,,0,,15,,,81.3,59.33,Overcast
australia,03/29/1970,59.6,48.8,53.5,42.9,,0,,18.3,,,72.5,57.22,Partially cloudy
australia,03/30/1970,61.9,39.5,50.5,40.5,,0,,11.4,,,13.8,57.74,Clear
australia,03/31/1970,62.3,42.2,51.5,,,0,,11.4,,,13.8,62.58,Clear
australia,04/01/1970,61.4,46.1,53.2,,,0,,6.9,,,61.2,71.84,Partially cloudy
australia,04/02/1970,69.5,38.9,52.9,,,0,,12.7,,,53.8,72.05,Partially cloudy
australia,04/03/1970,68.1,51.9,58.5,,,0,,23,,,61.3,59.27,Partially cloudy
australia,04/04/1970,65.9,35.9,50.9,46.4,,0,,17.2,,,11.3,63.21,Clear
australia,04/05/1970,64.1,47,54.3,43.6,,0,,18.4,,,81.3,63.32,Overcast
australia,04/06/1970,69.2,44.3,55.5,,,0,,13.8,,,68.8,69.19,Partially cloudy
australia,04/07/1970,70.9,38,54.8,,,0,,6.9,,,40.1,67.08,Partially cloudy
australia,04/08/1970,63.8,53.9,57.3,,,0,,18.3,,,63.8,67.29,Partially cloudy
australia,04/09/1970,64.7,50.6,56.2,,,0,,16,,,81.2,66.89,Overcast
australia,04/10/1970,68.3,53.9,60.5,,,0,,11.4,,,90,75.14,Overcast
australia,04/11/1970,69.1,55.1,59.5,,,0,,23,,,63.7,78.05,Partially cloudy
australia,04/12/1970,69.5,48.8,58,,,0,,16,,,17.5,67.36,Clear
australia,04/13/1970,70.1,39.8,54.8,,,0,,9.1,,,5,69.93,Clear
australia,04/14/1970,73.1,37.1,53.4,,,0,,6.9,,,7.5,69.48,Clear
australia,04/15/1970,74,38.6,55.4,,,0,,0,,,0,66.2,Clear
australia,04/16/1970,71.8,42,56.5,,,0,,9.2,,,0,63.65,Clear
australia,04/17/1970,73.1,50.3,58.7,,,0,,4.7,,,15,72.75,Clear
australia,04/18/1970,74,41.3,56.2,,,0,,5.8,,,0.1,72.92,Clear
australia,04/19/1970,74.9,43.4,56.9,,,0,,5.8,,,45,69.56,Partially cloudy
australia,04/20/1970,74,45.6,58.9,,,0,,4.7,,,76.3,71.05,Overcast
australia,04/21/1970,69.1,52.1,61.2,,,0,,9.2,,,90,75.24,Overcast
australia,04/22/1970,62.9,59.1,60.7,,,0,,15,,,98.8,82.64,Overcast
australia,04/23/1970,60.2,54.8,58.1,,,0,,16.1,,,100,90.41,Overcast
australia,04/24/1970,60.2,47,53.7,,,0,,15,,,60,77.49,Partially cloudy
australia,04/25/1970,61,50.1,55.4,,,0,,17.2,,,51.3,65.08,Partially cloudy
australia,04/26/1970,56,46.5,50.6,43,,0,,17.2,,,47.5,61.87,Partially cloudy
australia,04/27/1970,60.1,47.9,52.9,41.7,,0,,23.1,,,62.5,65.01,Partially cloudy
australia,04/28/1970,56.9,44,49,36.3,,0,,19.5,,,36.3,65.21,Partially cloudy
australia,04/29/1970,59,34.1,45.4,,,0,,2.3,,,45,74.65,Partially cloudy
australia,04/30/1970,64.1,35.9,48.1,,,0,,0.1,,,33.8,77.53,Partially cloudy
australia,05/01/1970,65.9,38.9,50.8,,,0,,2.3,,,2.6,78.95,Clear
australia,05/02/1970,65.6,48.8,55.5,,,0,,16.1,,,68.8,76.13,Partially cloudy
australia,05/03/1970,57.8,44.9,50.7,41,,0,,13.9,,,31.3,55.52,Partially cloudy
australia,05/04/1970,56.5,27.2,41.9,38,,0,,9.2,,,0.1,78.65,Clear
australia,05/05/1970,52.4,31.4,41.3,36.7,,0,,12.8,,,67.5,85.27,Partially cloudy
australia,05/06/1970,47,35.9,42.9,29.6,,0,,13.9,,,96.2,89.45,Overcast
australia,05/07/1970,49.3,38.9,43.8,32.9,,0,,20.8,,,58.8,65.58,Partially cloudy
australia,05/08/1970,52.9,43.1,47,35.6,,0,,18.3,,,48.9,61.99,Partially cloudy
australia,05/09/1970,58.3,38.9,48.4,45.8,,0,,7,,,68.8,75.15,Partially cloudy
australia,05/10/1970,58.7,44,49.7,,,0,,0.1,,,87.5,73.35,Overcast
australia,05/11/1970,61.4,43.1,50.3,,,0,,5.8,,,72.5,76.57,Partially cloudy
australia,05/12/1970,60.2,42.2,50.6,,,0,,8.1,,,47.5,76.68,Partially cloudy
australia,05/13/1970,60.9,34.4,45.9,,,0,,7,,,41.3,81.06,Partially cloudy
australia,05/14/1970,60.2,39.8,48.5,,,0,,8.1,,,83.7,82.54,Overcast
australia,05/15/1970,57.8,47.9,53,43,,0,,18.3,,,82.5,83.76,Overcast
australia,05/16/1970,54.8,44,48.1,38,,0,,20.8,,,55,80.59,Partially cloudy
australia,05/17/1970,52.1,42.5,46,34.8,,0,,20.8,,,57.5,67.33,Partially cloudy
australia,05/18/1970,52.9,30.5,41.4,33,,0,,12.8,,,5,67.12,Clear
australia,05/19/1970,52.1,25.4,37.3,37.8,,0,,13.8,,,20,79.95,Clear
australia,05/20/1970,51.2,40.4,45.5,34,,0,,26.4,,,76.2,69.9,Overcast
australia,05/21/1970,55.1,37.1,46.1,30.5,,0,,15,,,58.8,63.21,Partially cloudy
australia,05/22/1970,53.9,29.9,41.1,41.4,,0,,9.2,,,26.2,86.61,Partially cloudy
australia,05/23/1970,57.3,28.1,40,,,0,,0,,,36.3,80.83,Partially cloudy
australia,05/24/1970,55.1,32.1,41.1,,,0,,4.7,,,76.2,88.85,Overcast
australia,05/25/1970,56.5,38.6,45.4,,,0,,2.3,,,71.2,86.09,Partially cloudy
australia,05/26/1970,57.8,40.7,46.9,,,0,,2.2,,,53.8,80.83,Partially cloudy
australia,05/27/1970,57.8,35.9,45.4,,,0,,4.7,,,35,85.5,Partially cloudy
australia,05/28/1970,55.4,32.6,43.9,,,0,,9.2,,,68.8,87.13,Partially cloudy
australia,05/29/1970,53.8,45.8,49.2,42.7,,0,,18.3,,,95,82.9,Overcast
australia,05/30/1970,51.5,38,43.9,,,0,,3.4,,,73.8,92.41,Partially cloudy
australia,05/31/1970,53.3,41.1,47.4,,,0,,12.8,,,77.5,85.06,Overcast
australia,06/01/1970,59.2,42.2,49.7,,,0,,18.3,,,62.6,80.95,Partially cloudy
australia,06/02/1970,57.8,35.9,44.2,38.4,,0,,17.2,,,41.3,85.46,Partially cloudy
