Entity,Code,Year,Gas Consumption - EJ
Africa,,1965,0.034357515479999996
Africa,,1966,0.03841169832
Africa,,1967,0.03796441056
Africa,,1968,0.03848029128
Africa,,1969,0.044971199280000006
Africa,,1970,0.05587317
Africa,,1971,0.0662589493124016
Africa,,1972,0.0888143649331407
Africa,,1973,0.142386449153759
Africa,,1974,0.160266554573332
Africa,,1975,0.19309815889595003
Africa,,1976,0.21953300382279198
Africa,,1977,0.245643087283714
Africa,,1978,0.35053163212081895
Africa,,1979,0.535834137436616
Africa,,1980,0.672890317920808
Africa,,1981,0.8225681615875842
Africa,,1982,0.8882407754086159
Africa,,1983,0.9765912491826629
Africa,,1984,0.9356500095571558
Africa,,1985,1.0038338893861898
Africa,,1986,1.12777632936168
Africa,,1987,1.16418368573268
Africa,,1988,1.29040034620538
Africa,,1989,1.33729574796648
Africa,,1990,1.43512338396058
Africa,,1991,1.4458881347420298
Africa,,1992,1.5165729266854502
Africa,,1993,1.4855183185692
Africa,,1994,1.55458062846897
Africa,,1995,1.66047659188206
Africa,,1996,1.7430902933842
Africa,,1997,1.70811193018123
Africa,,1998,1.7976131797183001
Africa,,1999,1.814470586955
Africa,,2000,2.00456048250493
Africa,,2001,2.3135981540426203
Africa,,2002,2.4525508541797096
Africa,,2003,2.60540806511883
Africa,,2004,2.83641918504681
Africa,,2005,2.94248731703897
Africa,,2006,3.0708388385657
Africa,,2007,3.2690210968809903
Africa,,2008,3.41202842481023
Africa,,2009,3.4407490236802203
Africa,,2010,3.56100354242245
Africa,,2011,3.85949960524872
Africa,,2012,4.143867141273811
Africa,,2013,4.19867709696927
Africa,,2014,4.31612137182729
Africa,,2015,4.624571388435981
Africa,,2016,4.75281940755511
Africa,,2017,5.04318990096537
Africa,,2018,5.35726740185977
Africa,,2019,5.40460052580624
Algeria,DZA,1965,0.0267498
Algeria,DZA,1966,0.027789299999999996
Algeria,DZA,1967,0.0269577
Algeria,DZA,1968,0.0283437
Algeria,DZA,1969,0.037266075
Algeria,DZA,1970,0.03503115
Algeria,DZA,1971,0.0397782
Algeria,DZA,1972,0.04618845
Algeria,DZA,1973,0.064293075
Algeria,DZA,1974,0.07442819999999999
Algeria,DZA,1975,0.10256400000000002
Algeria,DZA,1976,0.121275
Algeria,DZA,1977,0.12924449999999998
Algeria,DZA,1978,0.20755349999999997
Algeria,DZA,1979,0.2934855
Algeria,DZA,1980,0.3939705
Algeria,DZA,1981,0.512127
Algeria,DZA,1982,0.5810805
Algeria,DZA,1983,0.636174
Algeria,DZA,1984,0.5589045
Algeria,DZA,1985,0.553707
Algeria,DZA,1986,0.606375
Algeria,DZA,1987,0.6202350000000001
Algeria,DZA,1988,0.6988905
Algeria,DZA,1989,0.6576569999999999
Algeria,DZA,1990,0.7023555
Algeria,DZA,1991,0.693693
Algeria,DZA,1992,0.7162155
Algeria,DZA,1993,0.6427575
Algeria,DZA,1994,0.6774074999999999
Algeria,DZA,1995,0.7279965
Algeria,DZA,1996,0.747747
Algeria,DZA,1997,0.6985439999999999
Algeria,DZA,1998,0.7224524999999999
Algeria,DZA,1999,0.7383915
Algeria,DZA,2000,0.687646575
Algeria,DZA,2001,0.71035965
Algeria,DZA,2002,0.70141995
Algeria,DZA,2003,0.741354075
Algeria,DZA,2004,0.762837075
Algeria,DZA,2005,0.80481555
Algeria,DZA,2006,0.822591
Algeria,DZA,2007,0.841704532307692
Algeria,DZA,2008,0.87855075
Algeria,DZA,2009,0.94362345
Algeria,DZA,2010,0.9117801
Algeria,DZA,2011,0.96469065
Algeria,DZA,2012,1.0754667
Algeria,DZA,2013,1.15637445
Algeria,DZA,2014,1.2993057
Algeria,DZA,2015,1.36521
Algeria,DZA,2016,1.389465
Algeria,DZA,2017,1.42065
Algeria,DZA,2018,1.5627149999999999
Algeria,DZA,2019,1.62855
Argentina,ARG,1965,0.1484424
