Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
russia,01/01/1970,10.1,-2.1,4.7,-19.7,,0,,13.9,,6.2,48.3,84.54,Partially cloudy
russia,01/02/1970,19.1,-3.9,10.4,-14.6,,0,,18.3,,3.1,87.5,89.14,Overcast
russia,01/03/1970,28.1,20.9,25.5,7.9,,0,,18.3,,3.7,92.5,91.09,Overcast
russia,01/04/1970,26.9,20.9,22.7,6.9,,0,,16.1,,3.7,97.5,89.49,Overcast
russia,01/05/1970,32.1,28.1,29.5,18.2,,0,,16.1,,2.7,100,92.43,Overcast
russia,01/06/1970,35.9,32.1,34.2,20.6,,0,,18.3,,4,100,91.57,Overcast
russia,01/07/1970,34.1,25.1,29.6,17.9,,0,,11.4,,6.2,71.3,83.77,Partially cloudy
russia,01/08/1970,32.1,25.1,27.9,15.6,,0,,13.9,,2.1,100,95.75,Overcast
russia,01/09/1970,34.1,19.1,24.6,8.3,,0,,9.2,,2.1,100,93.21,Overcast
russia,01/10/1970,16.1,7.1,11.3,-8.2,,0,,18.3,,4.6,52.5,86.75,Partially cloudy
russia,01/11/1970,2.9,-2.1,0.5,-13.2,,0,,6.9,,6.2,26.3,90.75,Partially cloudy
russia,01/12/1970,17.9,-3.9,5,-14.6,,0,,13.9,,2.6,55.7,92.37,Partially cloudy
russia,01/13/1970,25.1,19.1,23.3,5.6,,0,,13.9,,2.5,100,93.91,Overcast
russia,01/14/1970,29.9,25.1,27.3,17.2,,0,,11.4,,1.9,87.5,94.85,Overcast
russia,01/15/1970,32.1,29.9,31.5,21.6,,0,,9.2,,1.1,87.5,91.51,Overcast
russia,01/16/1970,25.1,5.1,13.8,-6.9,,0,,9.2,,5.3,75.7,88.68,Overcast
russia,01/17/1970,1.1,-5.9,-1.5,-20.1,,0,,11.4,,6.2,8.6,93.03,Clear
russia,01/18/1970,1.1,-12.9,-4.1,-28.5,,0,,9.2,,6.2,36.3,85.68,Partially cloudy
russia,01/19/1970,8.9,-5.9,3.1,-20.1,,0,,9.2,,2.7,68.8,92.08,Partially cloudy
russia,01/20/1970,14.1,7.1,11.6,-1.8,,0,,11.4,,3.5,100,89.91,Overcast
russia,01/21/1970,19.1,14.1,15.9,0.6,,0,,11.4,,3,87.5,83.73,Overcast
russia,01/22/1970,23.1,11.9,16.7,,,0,,0,,0.9,78.8,91.46,Overcast
russia,01/23/1970,23.1,11.9,17.1,12.3,,0,,4.7,,1.2,67.5,92.18,Partially cloudy
russia,01/24/1970,23.1,10.1,17.9,14.4,,0,,4.7,,2.9,87.5,91.5,Overcast
russia,01/25/1970,19.1,14.1,16.9,4,,0,,11.4,,3.8,100,90.63,Overcast
russia,01/26/1970,20.9,16.1,19,3.1,,0,,11.4,,5.7,81.3,87.75,Overcast
russia,01/27/1970,14.1,5.1,11.2,-2.3,,0,,9.2,,6.2,70,90.77,Partially cloudy
russia,01/28/1970,17.9,8.9,14.6,-8.6,,0,,16.1,,1.9,100,88.91,Overcast
russia,01/29/1970,2.9,-16.9,-6.7,-38.2,,0,,26.4,,4.6,66.3,75.73,Partially cloudy
russia,01/30/1970,-3.9,-18.1,-12.8,-39.7,,0,,11.4,,6.2,15,69.98,Clear
russia,01/31/1970,2.9,-18.1,-7.4,-31.2,,0,,11.4,,6.2,35,80.76,Partially cloudy
russia,02/01/1970,16.1,-2.1,10.2,-19.7,,0,,18.3,,5.6,95.7,89.94,Overcast
russia,02/02/1970,19.1,11.9,16.1,-3.5,,0,,18.3,,5.8,87.5,87.89,Overcast
russia,02/03/1970,19.1,5.1,12.8,-10.7,,0,,13.9,,6.2,43.8,57.06,Partially cloudy
russia,02/04/1970,26.9,14.1,19.9,-0.8,,0,,16.1,,2,100,90.69,Overcast
russia,02/05/1970,32.1,17.9,23.5,4.6,,0,,16.1,,2.4,98.8,91.04,Overcast
russia,02/06/1970,32.1,10.1,18.7,2.1,,0,,13.9,,6.8,63.8,80.09,Partially cloudy
russia,02/07/1970,14.1,7.1,10.9,-0.8,,0,,9.2,,4.4,84.3,81.45,Overcast
russia,02/08/1970,19.1,10.1,14.1,-2.1,,0,,16.1,,5,56.3,89.34,Partially cloudy
russia,02/09/1970,29.9,11.9,23.5,-2.1,,0,,16.1,,6.2,87.5,88.4,Overcast
russia,02/10/1970,29.9,28.1,29.3,18.2,,0,,11.4,,6.2,96.3,92.06,Overcast
russia,02/11/1970,29.9,26.9,28,17.9,,0,,11.4,,2.7,98.8,94.21,Overcast
russia,02/12/1970,25.1,2.9,13.8,-10.7,,0,,16.1,,5.8,42.9,82.98,Partially cloudy
russia,02/13/1970,11.9,-2.1,2.7,-12.5,,0,,4.7,,5.8,1.3,87.93,Clear
russia,02/14/1970,16.1,5.1,11.5,-10.7,,0,,18.3,,2,81.4,80.24,Overcast
russia,02/15/1970,25.1,17.9,20.5,2.1,,0,,18.3,,4.4,80,84.41,Overcast
russia,02/16/1970,35.9,19.1,28.5,5.6,,0,,13.9,,1.2,85.7,96.2,Overcast
russia,02/17/1970,34.1,10.1,19.6,1.8,,0,,13.9,,5,60,80.11,Partially cloudy
russia,02/18/1970,16.1,5.1,10.5,-4.5,,0,,11.4,,3.3,71.3,86.58,Partially cloudy
russia,02/19/1970,17.9,14.1,16.2,0.6,,0,,13.9,,1.8,100,88.08,Overcast
russia,02/20/1970,17.9,10.1,13.5,-0.8,,0,,6.9,,5.4,56.3,84.02,Partially cloudy
russia,02/21/1970,17.9,5.1,9.9,-2.8,,0,,11.4,,5.3,77.1,82.24,Overcast
russia,02/22/1970,20.9,7.1,15.1,-2.3,,0,,9.2,,3.4,95,90.92,Overcast
russia,02/23/1970,28.1,20.9,25.3,12.2,,0,,16.1,,2.5,100,92.77,Overcast
russia,02/24/1970,26.9,23.1,24.8,9.7,,0,,16.1,,4.7,100,88.35,Overcast
russia,02/25/1970,20.9,10.1,16.9,-4.3,,0,,13.9,,5.4,18.8,71.4,Clear
russia,02/26/1970,28.1,14.1,21.2,3.1,,0,,11.4,,4.9,0,56.93,Clear
russia,02/27/1970,29.9,16.1,23.7,8.7,,0,,6.9,,5,0,50.67,Clear
russia,02/28/1970,25.1,14.1,20.5,0.6,,0,,16.1,,4.4,66.3,68.24,Partially cloudy
russia,03/01/1970,26.9,20.9,23.2,6.9,,0,,16.1,,1.9,100,90.64,Overcast
russia,03/02/1970,26.9,19.1,23.3,4.6,,0,,16.1,,1.4,100,92.01,Overcast
russia,03/03/1970,26.9,16.1,21.6,1.7,,0,,13.9,,2.9,100,91.78,Overcast
russia,03/04/1970,32.1,23.1,26.9,14.8,,0,,9.2,,2.3,47.5,83.78,Partially cloudy
russia,03/05/1970,29.9,19.1,25,13.8,,0,,18.3,,3,58.8,80.7,Partially cloudy
russia,03/06/1970,32.1,26.9,28.9,13.8,,0,,21.9,,6.2,96.3,79.45,Overcast
russia,03/07/1970,26.9,20.9,23.5,7.9,,0,,21.9,,6.4,68.8,81.97,Partially cloudy
russia,03/08/1970,25.1,14.1,18.4,-0.8,,0,,16.1,,6.2,26.3,66.66,Partially cloudy
russia,03/09/1970,23.1,7.1,16.3,-8.2,,0,,13.9,,6.2,41.3,57.96,Partially cloudy
russia,03/10/1970,32.1,14.1,22.9,5.3,,0,,11.4,,4.9,0,57.28,Clear
russia,03/11/1970,34.1,19.1,27.8,16.9,,0,,4.7,,4.7,0,39.4,Clear
russia,03/12/1970,35.9,17.9,28.5,23,,0,,6.9,,5,38.8,41.1,Partially cloudy
russia,03/13/1970,28.1,20.9,25.3,7.9,,0,,13.9,,4,96.3,77.16,Overcast
russia,03/14/1970,29.9,26.9,28.2,16.6,,0,,11.4,,1.9,100,89.51,Overcast
russia,03/15/1970,34.1,28.1,30.3,21.6,,0,,9.2,,2.1,97.5,94.97,Overcast
russia,03/16/1970,34.1,28.1,30.3,20.9,,0,,11.4,,1.5,100,94.05,Overcast
russia,03/17/1970,28.1,23.1,27.3,11.9,,0,,16.1,,2.3,93.8,93.43,Overcast
russia,03/18/1970,34.1,8.9,23.8,17.2,,0,,13.9,,5.7,35,77.23,Partially cloudy
russia,03/19/1970,35.9,28.1,32,22.8,,0,,4.7,,3.1,96.3,85.63,Overcast
russia,03/20/1970,37.1,29.9,34.4,24.9,,0,,11.4,,4.3,100,87.82,Overcast
russia,03/21/1970,41.1,34.1,36.5,27.9,,0,,11.4,,3.4,100,86.06,Overcast
russia,03/22/1970,37.1,28.1,33.3,21.3,,0,,16.1,,5.4,61.3,79.61,Partially cloudy
russia,03/23/1970,35.9,26.9,31.9,24.9,,0,,9.2,,5.8,80,80.96,Overcast
russia,03/24/1970,34.1,28.1,31.8,22.8,,0,,4.7,,3.7,85.7,84.48,Overcast
russia,03/25/1970,35.9,20.9,30.7,14.6,,0,,16.1,,5.8,51.3,71.1,Partially cloudy
russia,03/26/1970,37.1,25.1,31.1,19.3,,0,,9.2,,5.4,51.3,70.56,Partially cloudy
russia,03/27/1970,35.9,23.1,29.5,13.2,,0,,13.9,,6.2,3.8,64.94,Clear
russia,03/28/1970,37.1,19.1,29.2,18.5,,0,,16.1,,5.8,7.5,68.11,Clear
russia,03/29/1970,28.1,25.1,27.3,13.2,,0,,18.3,,2.4,100,87.26,Overcast
russia,03/30/1970,32.1,25.1,27.7,14.6,,0,,18.3,,5.8,80,83.38,Overcast
russia,03/31/1970,32.1,23.1,28.4,16.6,,0,,18.3,,5.6,81.3,82.57,Overcast
russia,04/01/1970,41.1,17.9,30.9,10.8,,0,,11.4,,5.4,27.5,78.69,Partially cloudy
russia,04/02/1970,46.1,34.1,39.4,25.6,,0,,16.1,,4.3,65,79.9,Partially cloudy
russia,04/03/1970,38.9,35.9,37.9,28.9,,0,,9.2,,1.8,100,93.71,Overcast
russia,04/04/1970,44.9,37.1,40.8,30.8,,0,,16.1,,5,92.5,80.78,Overcast
russia,04/05/1970,38.9,37.1,38,27.8,,0,,16.1,,3.9,97.5,92.96,Overcast
russia,04/06/1970,41.1,37.1,39,31.7,,0,,9.2,,2.3,100,94.8,Overcast
russia,04/07/1970,41.1,37.1,39.2,28.5,,0,,16.1,,4.7,97.5,89.54,Overcast
russia,04/08/1970,43.1,35.9,37.3,26.2,,0,0,16.1,,4.7,62.5,84.68,Partially cloudy
russia,04/09/1970,52.1,29.9,42.1,27.5,,0,,6.9,,4.3,3.8,73.46,Clear
russia,04/10/1970,50.1,35.9,43.3,36.1,,0,0,16.1,,2.9,56.3,81.08,Partially cloudy
russia,04/11/1970,52.1,38.9,44.8,31.7,,0,,16.1,,4.8,51.3,69.91,Partially cloudy
russia,04/12/1970,52.1,38.9,44,35.4,,0,0,16.1,,6.2,72.5,71.68,Partially cloudy
russia,04/13/1970,41.1,35.9,37.4,26.2,,0,0,16.1,,3.3,97.5,83.54,Overcast
russia,04/14/1970,38.9,34.1,36.9,26.2,,0,0,16.1,,2.4,100,96.55,Overcast
russia,04/15/1970,41.1,32.1,35.9,22.1,,0,0,13.9,,7.8,43.8,59.81,Partially cloudy
russia,04/16/1970,47.9,26.9,39.1,30.5,,0,0,9.2,,7.8,25,49.87,Clear
russia,04/17/1970,46.1,34.1,40.7,27.9,,0,0,11.4,,6.2,74.3,56.89,Partially cloudy
russia,04/18/1970,50.1,35.9,43.7,30.2,,0,,6.9,,6.2,85.7,58.31,Overcast
russia,04/19/1970,41.1,35.9,39.5,30.2,,0,0,13.9,,5.4,100,78.55,Overcast
russia,04/20/1970,44.9,32.1,39.2,25.7,,0,0,11.4,,6.2,91.3,45.91,Overcast
russia,04/21/1970,46.1,35.9,40.8,26.9,,0,0,21.9,,4.2,98.8,83.57,Overcast
russia,04/22/1970,52.1,37.1,43.7,27.8,,0,0,18.3,,6.6,78.8,71.67,Overcast
russia,04/23/1970,44.9,35.9,39.2,25.5,,0,0,18.3,,7,70,71.83,Partially cloudy
russia,04/24/1970,46.1,35.9,41.4,29.5,,0,0,11.4,,3.9,87.5,89.93,Overcast
russia,04/25/1970,55.1,43.1,48.7,39.2,,0,0,13.9,,5.8,76.3,74.14,Overcast
russia,04/26/1970,62.9,35.9,53.2,,,0,0,13.9,,7.8,50,49.46,Partially cloudy
russia,04/27/1970,71.9,52.1,63.7,,,0,0,16.1,,5.8,58.8,60.12,Partially cloudy
russia,04/28/1970,64.1,46.1,58.7,42.6,,0,0,16.1,,6.6,61.3,59.75,Partially cloudy
russia,04/29/1970,59.1,43.1,50.2,38.9,,0,0,11.4,,5.9,70,69.87,Partially cloudy
russia,04/30/1970,56.9,46.1,52.4,42.6,,0,,18.3,,6.2,71.3,78.83,Partially cloudy
russia,05/01/1970,55.1,41.1,49.6,38,,0,0,13.9,,6.2,86.3,65.99,Overcast
russia,05/02/1970,77.1,47.9,64.5,42.3,,0,,13.9,,6.2,8.8,45.82,Clear
russia,05/03/1970,79.1,59.1,70.4,,,0,,9.2,,6.2,50,42.74,Partially cloudy
russia,05/04/1970,82.1,59.1,72.1,,80.8,0,0,9.2,,6.2,3.8,48.47,Clear
russia,05/05/1970,77.1,62.9,70.2,,,0,,9.2,,5.8,42.5,52.83,Partially cloudy
russia,05/06/1970,80.9,59.1,70,,79.8,0,,11.4,,6.2,40,45.37,Partially cloudy
russia,05/07/1970,77.1,53.9,65.9,,,0,,11.4,,6.2,61.3,56.28,Partially cloudy
