Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
uk,01/01/1973,44.6,30.3,40.4,30.9,,0,,11.3,,1.6,65.2,87.83,Partially cloudy
uk,01/02/1973,46.5,31.3,41.8,33.1,,0.01,,11.4,,2,51.7,87.27,"Rain, Partially cloudy"
uk,01/03/1973,53.6,46.4,49.6,41.2,,0,,11.4,,5.4,90.5,84.87,Overcast
uk,01/04/1973,51.9,45.7,50.4,47.4,,0,0,5.6,,1.3,97.5,90.75,Overcast
uk,01/05/1973,48.3,39.3,43.7,33.3,,0,,14.9,,3.9,77.8,81.33,Overcast
uk,01/06/1973,44.7,37.5,41.9,31.2,,0,,18.3,,3.1,77.3,88.54,Overcast
uk,01/07/1973,42.9,41.1,42.6,34,,0,,13.6,,4.1,100,85.62,Overcast
uk,01/08/1973,42.9,39.3,41.2,35.2,,0,,8,,3.7,100,89.33,Overcast
uk,01/09/1973,41.1,37.5,39.4,32.3,,0,,8,,2.9,95.4,80.74,Overcast
uk,01/10/1973,42.9,39.3,40.6,34.4,,0,,11.4,,2.2,97.9,77.4,Overcast
uk,01/11/1973,41.1,37.5,40.2,29.5,,0,,17.1,,8.8,99.2,64.09,Overcast
uk,01/12/1973,37.5,33.9,35.3,25.4,,0,,11.4,,4.8,100,75.91,Overcast
uk,01/13/1973,39.3,33.1,36.1,22.3,,0,,20.5,,1.5,96,82.9,Overcast
uk,01/14/1973,50.1,37.5,46.2,29.5,,0.01,,21.7,,11.4,79.6,80.27,"Rain, Overcast"
uk,01/15/1973,46.5,39.2,44.2,33.1,,0,,28.6,,13.9,77.8,81.17,Overcast
uk,01/16/1973,46.5,34.3,40.6,30.9,,0,,10.2,,7.4,33.6,77.67,Partially cloudy
uk,01/17/1973,41.1,35.7,39.3,28,,0,,13.5,,3.3,89.5,83.02,Overcast
uk,01/18/1973,44.7,35.7,39.6,26.8,,0,,13.6,,3.2,83,78.6,Overcast
uk,01/19/1973,41,30.3,36.3,25.3,,0,0,18.3,,3,88.4,76.69,Overcast
uk,01/20/1973,44.7,35.7,39.4,26.8,,0.02,,20.6,,8.2,76.7,85.25,"Rain, Overcast"
uk,01/21/1973,44.6,34.7,39.3,29.3,,0,,11.4,,11.3,66.2,76.89,Partially cloudy
uk,01/22/1973,48.3,31.3,40.8,23.7,,0,,16.1,,6.4,50.3,75.14,Partially cloudy
uk,01/23/1973,51.9,42.9,48.4,35.9,,0,,17.2,,2.7,99.2,91.39,Overcast
uk,01/24/1973,53.7,48.3,51.1,47,,0,,11.4,,3.6,97.1,86.38,Overcast
uk,01/25/1973,51.9,44.7,49.5,44.9,,0,,14.9,,5.5,93.3,76.76,Overcast
uk,01/26/1973,50.1,43.9,47.6,37.8,,0,,21.7,,10.9,86.5,83.22,Overcast
uk,01/27/1973,50.1,44.7,47.5,39.9,,0.01,,16.1,,13.4,85.5,76.75,"Rain, Overcast"
uk,01/28/1973,50.1,36.5,45.7,38.7,,0,,12.5,,4.6,74.4,85.28,Partially cloudy
uk,01/29/1973,53.7,48.3,51.5,43.1,,0,,12.5,,7.4,95.7,82.05,Overcast
uk,01/30/1973,51.9,42.8,47.7,37.5,,0,0,19.3,,9.9,82.4,79.05,Overcast
uk,01/31/1973,48.3,37.5,42.9,30.9,,0,0,12.5,,8,44.3,74.89,Partially cloudy
uk,02/01/1973,48.3,41.1,44.5,37.3,,0,,8,,4.4,73,83.8,Partially cloudy
uk,02/02/1973,50.1,41,46.6,39.2,,0,,8,,1.4,85.4,80.11,Overcast
uk,02/03/1973,46.5,37.5,42.4,32.6,,0,,10.3,,1.7,48.7,88.62,Partially cloudy
uk,02/04/1973,39.3,28.5,35.5,22.9,,0,0,8,,1.3,41.4,90.83,Partially cloudy
uk,02/05/1973,48.3,37.5,43.8,33.1,,0,,12.5,,4,88.4,78.79,Overcast
uk,02/06/1973,51.9,41.1,47.7,36.6,,0,0,18.3,,9,80.9,82.87,Overcast
uk,02/07/1973,51.9,48.3,50.1,42.2,,0,0,20.5,,15.3,96.6,78.65,Overcast
uk,02/08/1973,50.1,46.5,48.2,39.9,,0.01,0,25.2,,7.6,99.6,87.14,"Rain, Overcast"
uk,02/09/1973,50,41.1,45.2,33.6,,0.08,,17.2,,12.1,56.9,74.28,"Rain, Partially cloudy"
uk,02/10/1973,46.5,35.8,41.4,28,,0,,20.5,,15.8,46.9,75.71,Partially cloudy
uk,02/11/1973,50.1,31.9,42.8,28.1,,0,,17.2,,11,56.4,76.52,Partially cloudy
uk,02/12/1973,51.9,35.7,45.2,25.3,,0,,34.4,,13.7,78.4,79.13,Overcast
uk,02/13/1973,42.9,32.1,37.8,21.5,,0,,22.9,,15,51.7,70.42,Partially cloudy
uk,02/14/1973,42.9,32.1,37.6,24.5,,0,0.39,22.9,,8.4,67.1,72.95,"Snow, Partially cloudy"
uk,02/15/1973,42.9,33.8,37.6,25.4,,0,,13.6,,5.5,73.6,65.13,Partially cloudy
uk,02/16/1973,44.7,35.6,39.5,27.2,,0,,13.6,,3.1,51.2,74.11,Partially cloudy
uk,02/17/1973,44.7,25.7,38.7,31.8,,0,,11.4,,5.7,36.9,68.69,Partially cloudy
uk,02/18/1973,50.1,33.9,42.2,28,,0,0,17.2,,3.8,59.8,69.77,Partially cloudy
