Entity,Code,Year,Coal Consumption - EJ
Africa,,1965,1.16458609817792
Africa,,1966,1.1632398963506398
Africa,,1967,1.18904970483155
Africa,,1968,1.23664647866971
Africa,,1969,1.24791451765695
Africa,,1970,1.2987248380272198
Africa,,1971,1.37884434749587
Africa,,1972,1.38315889174965
Africa,,1973,1.47207727225914
Africa,,1974,1.5323264144729498
Africa,,1975,1.6238898130818502
Africa,,1976,1.73186696184599
Africa,,1977,1.77011443839973
Africa,,1978,1.72013609844632
Africa,,1979,1.82608918711079
Africa,,1980,1.9568054139852602
Africa,,1981,2.2888756201446
Africa,,1982,2.52423317705745
Africa,,1983,2.56768577008527
Africa,,1984,2.74643233835874
Africa,,1985,2.8337972017934305
Africa,,1986,2.89928194704332
Africa,,1987,2.9819510362389505
Africa,,1988,3.20457889721043
Africa,,1989,3.00823510262847
Africa,,1990,3.16011550144506
Africa,,1991,3.07150044663975
Africa,,1992,3.0898826934247703
Africa,,1993,3.13781474301955
Africa,,1994,3.2190074306742997
Africa,,1995,3.3184902243762795
Africa,,1996,3.3643866187067903
Africa,,1997,3.44995703696385
Africa,,1998,3.37070620346258
Africa,,1999,3.4757302320868497
Africa,,2000,3.4677860943059597
Africa,,2001,3.5121155834179403
Africa,,2002,3.36276333871271
Africa,,2003,3.6601655115784597
Africa,,2004,4.02584399669286
Africa,,2005,3.7369124919025802
Africa,,2006,3.78995763207475
Africa,,2007,3.85266136470971
Africa,,2008,4.24614207492077
Africa,,2009,4.22793915938384
Africa,,2010,4.19091509146052
Africa,,2011,4.12068023468254
Africa,,2012,4.01790940419431
Africa,,2013,4.07029656919066
Africa,,2014,4.264063565403459
Africa,,2015,4.0266831744739005
Africa,,2016,4.27370257251537
Africa,,2017,4.25717734837494
Africa,,2018,4.40535965474694
Africa,,2019,4.472387315232821
Algeria,DZA,1965,0.00293076
Algeria,DZA,1966,0.002847024
Algeria,DZA,1967,0.002177136
Algeria,DZA,1968,0.00230274
Algeria,DZA,1969,0.00293076
Algeria,DZA,1970,0.003475044
Algeria,DZA,1971,0.000962964
Algeria,DZA,1972,0.00083736
Algeria,DZA,1973,0.000962964
Algeria,DZA,1974,0.000795492
Algeria,DZA,1975,0.001004832
Algeria,DZA,1976,0.001967796
Algeria,DZA,1977,0.002553948
Algeria,DZA,1978,0.001297908
Algeria,DZA,1979,0.0030144959999999998
Algeria,DZA,1980,0.002679552
Algeria,DZA,1981,0.00188406
Algeria,DZA,1982,0.03495978
Algeria,DZA,1983,0.03119166
Algeria,DZA,1984,0.034582968
Algeria,DZA,1985,0.036090216
Algeria,DZA,1986,0.03705318
Algeria,DZA,1987,0.044296344
Algeria,DZA,1988,0.04165866
Algeria,DZA,1989,0.035210988
Algeria,DZA,1990,0.027591012
Algeria,DZA,1991,0.02847024
Algeria,DZA,1992,0.033829344
Algeria,DZA,1993,0.027549143999999998
Algeria,DZA,1994,0.02595816
Algeria,DZA,1995,0.02595816
Algeria,DZA,1996,0.012225456
Algeria,DZA,1997,0.021436416
Algeria,DZA,1998,0.022943664
Algeria,DZA,1999,0.024576516
Algeria,DZA,2000,0.02030598
Algeria,DZA,2001,0.02344608
Algeria,DZA,2002,0.03077298
Algeria,DZA,2003,0.025372007999999998
Algeria,DZA,2004,0.030270564
Algeria,DZA,2005,0.024869592000000003
Algeria,DZA,2006,0.036927576000000004
Algeria,DZA,2007,0.031694076
Algeria,DZA,2008,0.031694076
Algeria,DZA,2009,0.020347848
Algeria,DZA,2010,0.01297908
Algeria,DZA,2011,0.0115137
Algeria,DZA,2012,0.012225456
Algeria,DZA,2013,0.006615144
Algeria,DZA,2014,0.007494371999999999
Algeria,DZA,2015,0.0055684440000000005
Algeria,DZA,2016,0.002051532
Algeria,DZA,2017,0.007619976
Algeria,DZA,2018,0.020934
Algeria,DZA,2019,0.020934
Argentina,ARG,1965,0.0304381770714656
Argentina,ARG,1966,0.0250985458758962
Argentina,ARG,1967,0.028225429159810002
Argentina,ARG,1968,0.0274285269917837
Argentina,ARG,1969,0.0328398119867313
Argentina,ARG,1970,0.0422013541680216
Argentina,ARG,1971,0.0369991513031572
Argentina,ARG,1972,0.0311446616357878
Argentina,ARG,1973,0.0341874791240202
Argentina,ARG,1974,0.0425733187044874
Argentina,ARG,1975,0.0414393850484502
Argentina,ARG,1976,0.0419133067538981
Argentina,ARG,1977,0.0396306110920702
Argentina,ARG,1978,0.0483091032944123
Argentina,ARG,1979,0.0450060257834579
Argentina,ARG,1980,0.0401205226544455
Argentina,ARG,1981,0.0380176819448025
Argentina,ARG,1982,0.0383978741394194
Argentina,ARG,1983,0.0348478676110437
Argentina,ARG,1984,0.025866805296863
Argentina,ARG,1985,0.0381585807422239
Argentina,ARG,1986,0.0435936575890372
Argentina,ARG,1987,0.0483828220102816
Argentina,ARG,1988,0.0495804586981402
Argentina,ARG,1989,0.0536499654395106
Argentina,ARG,1990,0.0441580758735109
Argentina,ARG,1991,0.0388584449182651
Argentina,ARG,1992,0.0438053890960686
Argentina,ARG,1993,0.029051953991999998
Argentina,ARG,1994,0.025434385164392996
Argentina,ARG,1995,0.0266909486920615
Argentina,ARG,1996,0.0279605381191482
Argentina,ARG,1997,0.0220597704594418
Argentina,ARG,1998,0.0296546737018068
Argentina,ARG,1999,0.0355876903485689
Argentina,ARG,2000,0.0270455302918545
Argentina,ARG,2001,0.022164668208593995
Argentina,ARG,2002,0.0165106673699047
Argentina,ARG,2003,0.0201379126788292
Argentina,ARG,2004,0.034271349911862
Argentina,ARG,2005,0.039461921818754
Argentina,ARG,2006,0.035725754078428
Argentina,ARG,2007,0.0516972999576269
Argentina,ARG,2008,0.0630578474375606
Argentina,ARG,2009,0.034635377007853
Argentina,ARG,2010,0.0484994881791344
Argentina,ARG,2011,0.0526271229518496
Argentina,ARG,2012,0.0492090500910157
Argentina,ARG,2013,0.0537814898060142
Argentina,ARG,2014,0.0572101797641976
Argentina,ARG,2015,0.0569308653997225
Argentina,ARG,2016,0.04387910886468
Argentina,ARG,2017,0.0450910374466118
Argentina,ARG,2018,0.04935293160336
Argentina,ARG,2019,0.0228517280442893
Asia Pacific,,1965,10.0106332143893
Asia Pacific,,1966,10.5534438959227
Asia Pacific,,1967,10.275475224638301
Asia Pacific,,1968,10.428239329782699
Asia Pacific,,1969,11.700676284949
Asia Pacific,,1970,13.072098916102199
Asia Pacific,,1971,13.992668577820499
Asia Pacific,,1972,14.5317284674428
Asia Pacific,,1973,14.883035039218099
Asia Pacific,,1974,15.245050603320598
Asia Pacific,,1975,16.4068244200292
Asia Pacific,,1976,16.796451090319298
Asia Pacific,,1977,17.9120811801802
Asia Pacific,,1978,18.7894643826368
Asia Pacific,,1979,19.699786904627498
Asia Pacific,,1980,20.822420933060897
Asia Pacific,,1981,21.5101298939984
Asia Pacific,,1982,22.263986894472104
Asia Pacific,,1983,23.568140002862503
Asia Pacific,,1984,25.609452764014602
Asia Pacific,,1985,27.630859040306802
Asia Pacific,,1986,28.6930017749577
Asia Pacific,,1987,30.759240100221
Asia Pacific,,1988,32.958730988644
Asia Pacific,,1989,34.4446903990899
Asia Pacific,,1990,35.1828473954887
Asia Pacific,,1991,36.6243201101178
Asia Pacific,,1992,37.89439670776021
Asia Pacific,,1993,39.8833992981997
Asia Pacific,,1994,41.8729964240212
Asia Pacific,,1995,42.8625023445016
Asia Pacific,,1996,44.739753076631004
Asia Pacific,,1997,44.9444317837258
Asia Pacific,,1998,44.8991935328549
