Entity,Code,Year,Fossil Fuels (TWh)
Africa,,1965,658.940796
Africa,,1966,690.502006
Africa,,1967,694.6708477
Africa,,1968,727.596509
Africa,,1969,737.6714762
Africa,,1970,794.6844896
Africa,,1971,874.4587404
Africa,,1972,921.6090531
Africa,,1973,999.903878
Africa,,1974,1040.194517
Africa,,1975,1101.143846
Africa,,1976,1204.265641
Africa,,1977,1261.037727
Africa,,1978,1313.340206
Africa,,1979,1443.222226
Africa,,1980,1563.347356
Africa,,1981,1750.668627
Africa,,1982,1878.450723
Africa,,1983,1946.669654
Africa,,1984,2005.439796
Africa,,1985,2070.741554
Africa,,1986,2108.4749
Africa,,1987,2191.59442
Africa,,1988,2336.991571
Africa,,1989,2335.638186
Africa,,1990,2422.825537
Africa,,1991,2409.136911
Africa,,1992,2460.509671
Africa,,1993,2478.949529
Africa,,1994,2548.241696
Africa,,1995,2648.041425
Africa,,1996,2715.206389
Africa,,1997,2764.419533
Africa,,1998,2799.463643
Africa,,1999,2882.295933
Africa,,2000,2940.741321
Africa,,2001,3057.224549
Africa,,2002,3080.476485
Africa,,2003,3244.700509
Africa,,2004,3482.06383
Africa,,2005,3510.716781
Africa,,2006,3572.477771
Africa,,2007,3700.708409
Africa,,2008,3946.457817
Africa,,2009,4015.73311
Africa,,2010,4133.236717
Africa,,2011,4142.953843
Africa,,2012,4298.266368
Africa,,2013,4400.578392
Africa,,2014,4522.260972
Africa,,2015,4590.455074
Africa,,2016,4714.357946
Africa,,2017,4803.136483
Africa,,2018,4954.635402
Africa,,2019,5043.233947
Algeria,DZA,1965,23.64987086
Algeria,DZA,1966,28.7828183
Algeria,DZA,1967,27.03506274
Algeria,DZA,1968,28.68022433
Algeria,DZA,1969,32.47174348
Algeria,DZA,1970,35.04387387
Algeria,DZA,1971,38.75707128
Algeria,DZA,1972,43.18417371
Algeria,DZA,1973,51.02706332
Algeria,DZA,1974,57.43935678
Algeria,DZA,1975,69.39984302
Algeria,DZA,1976,80.95190726
Algeria,DZA,1977,89.41724514
Algeria,DZA,1978,112.6223148
Algeria,DZA,1979,147.6798454
Algeria,DZA,1980,176.3831411
Algeria,DZA,1981,214.1040941
Algeria,DZA,1982,246.6959151
Algeria,DZA,1983,270.2719873
Algeria,DZA,1984,258.8598435
Algeria,DZA,1985,260.3865714
Algeria,DZA,1986,276.7515256
Algeria,DZA,1987,283.6927908
Algeria,DZA,1988,304.8809425
Algeria,DZA,1989,296.4002282
Algeria,DZA,1990,314.5747875
Algeria,DZA,1991,311.2289351
Algeria,DZA,1992,319.6387013
Algeria,DZA,1993,296.9514042
Algeria,DZA,1994,301.430487
Algeria,DZA,1995,312.5743828
Algeria,DZA,1996,309.5257873
Algeria,DZA,1997,297.6382176
Algeria,DZA,1998,307.7134842
Algeria,DZA,1999,310.8341545
Algeria,DZA,2000,299.7862071
Algeria,DZA,2001,310.6105074
Algeria,DZA,2002,321.7844121
Algeria,DZA,2003,336.1538545
Algeria,DZA,2004,349.054787
Algeria,DZA,2005,364.6817717
Algeria,DZA,2006,378.6011837
Algeria,DZA,2007,399.00104
Algeria,DZA,2008,422.7620196
Algeria,DZA,2009,447.9045928
Algeria,DZA,2010,436.9267545
Algeria,DZA,2011,463.3958988
Algeria,DZA,2012,506.532383
Algeria,DZA,2013,536.6294793
Algeria,DZA,2014,584.9256407
Algeria,DZA,2015,616.9207669
Algeria,DZA,2016,615.9739022
Algeria,DZA,2017,622.0644732
Algeria,DZA,2018,670.256824
Algeria,DZA,2019,703.1175405
Argentina,ARG,1965,309.8285909
Argentina,ARG,1966,320.1940764
Argentina,ARG,1967,329.7267371
Argentina,ARG,1968,340.62636
Argentina,ARG,1969,352.9092812
Argentina,ARG,1970,332.4271662
Argentina,ARG,1971,353.4557097
Argentina,ARG,1972,359.9332596
Argentina,ARG,1973,371.5224994
Argentina,ARG,1974,379.5545953
Argentina,ARG,1975,364.9764989
Argentina,ARG,1976,386.4188475
Argentina,ARG,1977,405.1389727
Argentina,ARG,1978,404.7188013
Argentina,ARG,1979,423.4411499
Argentina,ARG,1980,411.5324945
Argentina,ARG,1981,394.980746
Argentina,ARG,1982,400.1226765
Argentina,ARG,1983,413.7702024
Argentina,ARG,1984,405.5640583
Argentina,ARG,1985,388.8008519
Argentina,ARG,1986,435.9326404
Argentina,ARG,1987,454.5627781
Argentina,ARG,1988,482.4415001
