Entity,Code,Year,Fossil fuels per capita (kWh)
Africa,,1965,2058.24443
Africa,,1966,2103.540893
Africa,,1967,2063.597325
Africa,,1968,2107.265144
Africa,,1969,2082.552855
Africa,,1970,2186.514961
Africa,,1971,2344.493974
Africa,,1972,2407.30809
Africa,,1973,2543.999852
Africa,,1974,2576.996863
Africa,,1975,2655.438173
Africa,,1976,2825.959397
Africa,,1977,2878.720034
Africa,,1978,2915.915946
Africa,,1979,3115.872367
Africa,,1980,3281.6821
Africa,,1981,3572.76395
Africa,,1982,3726.833472
Africa,,1983,3754.570387
Africa,,1984,3760.117421
Africa,,1985,3774.413926
Africa,,1986,3736.264595
Africa,,1987,3775.850793
Africa,,1988,3915.548953
Africa,,1989,3806.996743
Africa,,1990,3843.619379
Africa,,1991,3721.571392
Africa,,1992,3702.731736
Africa,,1993,3635.521718
Africa,,1994,3643.233885
Africa,,1995,3691.833433
Africa,,1996,3692.344712
Africa,,1997,3667.613403
Africa,,1998,3624.196759
Africa,,1999,3641.543104
Africa,,2000,3626.139752
Africa,,2001,3679.400168
Africa,,2002,3618.56429
Africa,,2003,3719.92886
Africa,,2004,3895.610077
Africa,,2005,3832.016061
Africa,,2006,3803.705063
Africa,,2007,3842.80769
Africa,,2008,3995.911215
Africa,,2009,3964.018461
Africa,,2010,3976.927556
Africa,,2011,3884.954103
Africa,,2012,3927.713899
Africa,,2013,3918.434634
Africa,,2014,3924.095249
Africa,,2015,3882.19174
Africa,,2016,3886.396134
Africa,,2017,3860.353433
Africa,,2018,3883.183448
Africa,,2019,3855.494798
Algeria,DZA,1965,1884.301718
Algeria,DZA,1966,2230.707456
Algeria,DZA,1967,2036.539566
Algeria,DZA,1968,2098.962554
Algeria,DZA,1969,2309.183863
Algeria,DZA,1970,2422.666704
Algeria,DZA,1971,2606.042986
Algeria,DZA,1972,2825.080055
Algeria,DZA,1973,3248.062592
Algeria,DZA,1974,3556.836757
Algeria,DZA,1975,4178.699604
Algeria,DZA,1976,4737.908654
Algeria,DZA,1977,5085.437363
Algeria,DZA,1978,6221.539875
Algeria,DZA,1979,7919.339627
Algeria,DZA,1980,9176.107643
Algeria,DZA,1981,10800.24688
Algeria,DZA,1982,12061.60051
Algeria,DZA,1983,12807.88491
Algeria,DZA,1984,11893.94613
Algeria,DZA,1985,11607.81791
Algeria,DZA,1986,11979.54833
Algeria,DZA,1987,11932.9011
Algeria,DZA,1988,12473.13924
Algeria,DZA,1989,11805.95189
Algeria,DZA,1990,12212.22825
Algeria,DZA,1991,11788.97481
Algeria,DZA,1992,11826.2062
Algeria,DZA,1993,10745.09351
Algeria,DZA,1994,10683.72039
Algeria,DZA,1995,10869.12799
Algeria,DZA,1996,10576.29288
Algeria,DZA,1997,10007.00056
Algeria,DZA,1998,10191.5505
Algeria,DZA,1999,10150.34956
Algeria,DZA,2000,9657.438537
Algeria,DZA,2001,9875.699713
Algeria,DZA,2002,10101.53546
Algeria,DZA,2003,10418.85242
Algeria,DZA,2004,10677.07045
Algeria,DZA,2005,11000.95842
Algeria,DZA,2006,11254.15962
Algeria,DZA,2007,11677.96529
Algeria,DZA,2008,12172.46896
Algeria,DZA,2009,12676.3059
Algeria,DZA,2010,12144.61335
Algeria,DZA,2011,12640.02342
Algeria,DZA,2012,13549.44316
Algeria,DZA,2013,14069.99159
Algeria,DZA,2014,15027.37747
Algeria,DZA,2015,15528.61375
Algeria,DZA,2016,15190.10387
Algeria,DZA,2017,15029.70531
Algeria,DZA,2018,15872.33172
Algeria,DZA,2019,16331.44126
Argentina,ARG,1965,13981.43461
Argentina,ARG,1966,14234.64375
Argentina,ARG,1967,14443.3281
Argentina,ARG,1968,14702.44993
Argentina,ARG,1969,15005.92232
Argentina,ARG,1970,13920.15268
Argentina,ARG,1971,14569.48515
Argentina,ARG,1972,14599.97808
Argentina,ARG,1973,14827.68596
Argentina,ARG,1974,14906.70785
Argentina,ARG,1975,14110.27986
Argentina,ARG,1976,14712.31096
Argentina,ARG,1977,15195.94061
Argentina,ARG,1978,14955.79621
Argentina,ARG,1979,15414.11488
Argentina,ARG,1980,14751.85484
Argentina,ARG,1981,13937.70938
Argentina,ARG,1982,13895.56091
Argentina,ARG,1983,14140.18872
Argentina,ARG,1984,13638.36494
Argentina,ARG,1985,12867.38324
Argentina,ARG,1986,14200.22282
Argentina,ARG,1987,14576.79509
Argentina,ARG,1988,15233.87224
Argentina,ARG,1989,14565.50344
Argentina,ARG,1990,13581.9561
Argentina,ARG,1991,13670.76423
Argentina,ARG,1992,14419.42687
Argentina,ARG,1993,14398.31021
Argentina,ARG,1994,14130.6182
Argentina,ARG,1995,14694.88624
Argentina,ARG,1996,15898.95866
Argentina,ARG,1997,15015.52133
Argentina,ARG,1998,15590.47806
Argentina,ARG,1999,15470.21788
Argentina,ARG,2000,15525.94234
Argentina,ARG,2001,14530.04178
Argentina,ARG,2002,13636.1107
Argentina,ARG,2003,14782.31221
Argentina,ARG,2004,15854.17339
Argentina,ARG,2005,16741.8045
Argentina,ARG,2006,17215.30953
Argentina,ARG,2007,18401.41719
Argentina,ARG,2008,18621.73326
Argentina,ARG,2009,17755.55827
Argentina,ARG,2010,18599.38206
Argentina,ARG,2011,18871.5005
Argentina,ARG,2012,19399.89788
Argentina,ARG,2013,19893.03003
Argentina,ARG,2014,19572.08994
Argentina,ARG,2015,19724.45263
Argentina,ARG,2016,19620.8232
Argentina,ARG,2017,19241.66245
Argentina,ARG,2018,18824.28
Argentina,ARG,2019,18101.02669
Australia,AUS,1965,33870.32999
Australia,AUS,1966,36528.60171
Australia,AUS,1967,37788.01903
Australia,AUS,1968,39070.43132
Australia,AUS,1969,39608.01968
Australia,AUS,1970,42147.60198
Australia,AUS,1971,43270.24781
Australia,AUS,1972,44626.89873
Australia,AUS,1973,47047.97281
Australia,AUS,1974,49206.75685
Australia,AUS,1975,49249.7422
Australia,AUS,1976,50637.98321
Australia,AUS,1977,52831.21738
Australia,AUS,1978,53400.31697
Australia,AUS,1979,55070.07909
Australia,AUS,1980,54950.33629
Australia,AUS,1981,54640.81009
Australia,AUS,1982,54051.59502
Australia,AUS,1983,53534.36892
Australia,AUS,1984,54962.51387
Australia,AUS,1985,54402.77253
Australia,AUS,1986,55415.20327
Australia,AUS,1987,56099.68265
Australia,AUS,1988,57694.24323
Australia,AUS,1989,59651.15208
Australia,AUS,1990,59787.09314
Australia,AUS,1991,58462.52316
Australia,AUS,1992,58319.91442
Australia,AUS,1993,59300.62567
Australia,AUS,1994,61125.54467
Australia,AUS,1995,62198.89903
Australia,AUS,1996,63073.27277
Australia,AUS,1997,64028.87734
Australia,AUS,1998,64884.64048
Australia,AUS,1999,67024.60299
Australia,AUS,2000,66599.62128
Australia,AUS,2001,66577.39641
Australia,AUS,2002,66802.98181
Australia,AUS,2003,66993.59855
Australia,AUS,2004,68332.31734
Australia,AUS,2005,66883.03961
Australia,AUS,2006,69810.9084
Australia,AUS,2007,69414.54339
Australia,AUS,2008,69152.96562
Australia,AUS,2009,66926.74645
Australia,AUS,2010,65456.52666
Australia,AUS,2011,65785.05432
Australia,AUS,2012,64049.86002
Australia,AUS,2013,63069.76061
Australia,AUS,2014,63471.01217
Australia,AUS,2015,63343.51519
Australia,AUS,2016,62495.92113
Australia,AUS,2017,61766.63876
Australia,AUS,2018,61306.1647
Australia,AUS,2019,64591.97885
Austria,AUT,1965,19430.6824
Austria,AUT,1966,20005.11515
Austria,AUT,1967,20012.2774
Austria,AUT,1968,21568.39382
Austria,AUT,1969,23063.46937
Austria,AUT,1970,25438.52691
Austria,AUT,1971,26933.43663
Austria,AUT,1972,27794.04882
Austria,AUT,1973,29539.75447
Austria,AUT,1974,28298.26899
Austria,AUT,1975,27585.96505
Austria,AUT,1976,30111.45497
Austria,AUT,1977,28533.10599
Austria,AUT,1978,30209.79839
Austria,AUT,1979,31390.84138
Austria,AUT,1980,30853.65773
Austria,AUT,1981,28968.46283
Austria,AUT,1982,27619.28172
Austria,AUT,1983,27619.735
Austria,AUT,1984,28667.66359
Austria,AUT,1985,29125.76573
Austria,AUT,1986,28976.0316
Austria,AUT,1987,29648.61225
Austria,AUT,1988,28906.78507
Austria,AUT,1989,29102.41444
Austria,AUT,1990,30912.20649
Austria,AUT,1991,32817.71562
Austria,AUT,1992,30541.17737
Austria,AUT,1993,30371.7936
Austria,AUT,1994,30319.6039
Austria,AUT,1995,31530.14079
Austria,AUT,1996,32636.00796
Austria,AUT,1997,32788.9174
Austria,AUT,1998,33052.30922
Austria,AUT,1999,32876.81628
Austria,AUT,2000,32574.89301
Austria,AUT,2001,34703.07306
Austria,AUT,2002,34863.80528
Austria,AUT,2003,37624.98073
Austria,AUT,2004,36867.3965
Austria,AUT,2005,37183.14544
Austria,AUT,2006,36331.11516
Austria,AUT,2007,34262.43683
Austria,AUT,2008,34617.3957
Austria,AUT,2009,31975.67947
Austria,AUT,2010,34226.14203
Austria,AUT,2011,32298.70904
Austria,AUT,2012,31279.49407
Austria,AUT,2013,31191.74116
Austria,AUT,2014,29111.5426
Austria,AUT,2015,29680.39636
Austria,AUT,2016,30123.02608
Austria,AUT,2017,31076.87388
Austria,AUT,2018,30281.52893
Austria,AUT,2019,30844.34725
Azerbaijan,AZE,1985,34631.77501
Azerbaijan,AZE,1986,36910.81082
Azerbaijan,AZE,1987,35167.51492
Azerbaijan,AZE,1988,34651.60995
Azerbaijan,AZE,1989,34761.27105
Azerbaijan,AZE,1990,35261.66036
Azerbaijan,AZE,1991,33285.04883
Azerbaijan,AZE,1992,27976.75043
Azerbaijan,AZE,1993,23565.04453
Azerbaijan,AZE,1994,21515.59294
Azerbaijan,AZE,1995,20054.12201
Azerbaijan,AZE,1996,16179.15352
Azerbaijan,AZE,1997,15266.75423
Azerbaijan,AZE,1998,15118.14626
Azerbaijan,AZE,1999,15092.55181
Azerbaijan,AZE,2000,15635.83863
Azerbaijan,AZE,2001,15000.56196
Azerbaijan,AZE,2002,14426.91588
Azerbaijan,AZE,2003,15361.05752
Azerbaijan,AZE,2004,17257.88083
Azerbaijan,AZE,2005,18511.32995
Azerbaijan,AZE,2006,18165.25597
Azerbaijan,AZE,2007,16233.42458
Azerbaijan,AZE,2008,16259.86848
Azerbaijan,AZE,2009,14105.17825
Azerbaijan,AZE,2010,13413.39712
Azerbaijan,AZE,2011,15071.1027
Azerbaijan,AZE,2012,15592.85258
Azerbaijan,AZE,2013,15915.82185
