Country or Area,Year,co2_gigagrams,hfc_gigagrams,methane_gigagrams,pfc_gigagrams,sf6_gigagrams,n2o_gigagrams
Australia,2012,397830.6047,7945.106379,111709.4988,253.6974615,134.1112518,25775.42951
Australia,2011,398161.3872,7512.150105,110274.7423,259.250564,134.1366201,25201.09362
Australia,2010,399364.8191,6942.606891,109062.6389,243.7640112,145.1859446,24451.85748
Australia,2009,398668.7713,6353.309697,110806.5324,307.8866559,143.230925,24897.9032
Australia,2008,399084.1509,5810.538264,113592.76,381.1356105,158.4000936,25546.77744
Australia,2007,393918.3205,5228.388902,112910.9625,499.596277,170.0447376,25203.46451
Australia,2006,385969.3355,4645.725869,112704.2423,589.0959238,180.8369254,25795.91364
Australia,2005,380440.4543,4259.078425,111456.3782,1536.232745,190.8478094,25596.26495
Australia,2004,376669.8639,3631.988043,111300.2355,1469.480859,217.7829442,25747.88365
Australia,2003,364605.1036,3045.944086,111114.6627,1443.875055,216.2402246,25809.54226
Australia,2002,358296.2618,2489.712525,114604.9823,1481.291287,212.2523515,26500.42861
Australia,2001,354266.4988,1962.599355,117417.0372,1544.961969,206.0162805,26950.01251
Australia,2000,346620.8507,1374.625331,115036.2995,1103.547038,199.8500551,25477.74581
Australia,1999,340605.4425,1168.266453,112610.1531,976.6469094,205.5265835,24050.67006
Australia,1998,331123.2263,846.5457857,113882.5203,1423.754976,234.0926523,23070.08313
Australia,1997,317772.2529,595.2294679,113473.094,1053.035913,260.4641367,22538.54814
Australia,1996,309524.2626,347.133584,110248.8711,1209.294925,282.6617467,21600.93803
Australia,1995,302576.4261,798.1993775,111247.2463,1312.562597,316.8930173,20612.63505
Australia,1994,291375.934,812.1840448,109347.4497,1855.815281,296.2770796,19544.46772
Australia,1993,286804.3815,1446.588,112240.9751,2842.786222,277.5326243,19188.81185
Australia,1992,282530.1556,1053.936,114397.0991,3946.926917,258.7687055,18577.36439
Australia,1991,277590.3048,1126.27008,115081.462,3953.323881,239.9904177,18486.54312
Australia,1990,276137.5504,1126.27008,115184.3421,3950.125399,221.1992291,18354.20979
Austria,2012,67733.46873,1431.451585,5306.175712,40.45678,326.1753721,5221.634376
Austria,2011,70353.69785,1349.001695,5393.543082,60.07083,321.5297746,5282.995404
Austria,2010,72366.11548,1285.6477,5562.122945,63.93398,351.5004903,5178.527519
Austria,2009,67567.75633,1134.263607,5642.348343,28.6404,357.535455,5417.429389
Austria,2008,73804.4841,1082.021121,5743.372139,167.12525,390.8711991,5694.156363
Austria,2007,73980.07174,1042.647839,5866.548055,183.719,384.2159438,5510.220565
Austria,2006,76633.08254,1004.147735,5978.841155,136.93945,474.8788099,5482.904328
Austria,2005,79392.93686,997.3659353,6099.426938,125.0427,517.1232593,5449.044758
Austria,2004,78229.22315,1020.166462,6277.006243,125.4909,507.0707337,5410.393563
Austria,2003,77800.99197,952.5147712,6447.662129,102.19542,575.5780813,6105.654465
Austria,2002,71747.62552,874.7778459,6447.393383,83.45778927,642.8899618,6179.420446
Austria,2001,70029.31183,773.8646494,6545.00524,90.02663927,659.6879117,6176.765578
Austria,2000,65992.85904,646.8162156,6676.681954,67.4564,602.2465232,6290.904209
Austria,1999,65343.17335,632.4772603,6823.581189,64.192525,708.9835181,6393.869367
Austria,1998,66743.9841,555.3978755,6978.462212,44.3960941,911.8413569,6418.934763
Austria,1997,67162.48996,460.9931782,7119.090457,96.48288,1138.809574,6299.941774
Austria,1996,67365.29505,392.5699572,7429.432302,65.9187,1233.686363,6267.873288
Austria,1995,63924.04007,339.6410101,7651.931535,68.3865,1153.197256,6606.365153
Austria,1994,60877.08511,260.3292757,7737.860386,58.29723,970.8792466,6440.995597
Austria,1993,60482.1679,237.0064882,7972.226788,52.56522,779.9276494,5960.220865
Austria,1992,60100.20593,26.51389389,8022.120137,439.81281,687.9713817,6134.149826
Austria,1991,65602.05162,24.72932613,8304.629904,1030.484331,643.8151141,6529.380712
Austria,1990,62017.74583,22.55005794,8332.119843,1022.646321,493.3659864,6197.924098
Belarus,2012,57490.68938,,15390.5419,,2.2653615,16399.82922
Belarus,2011,55380.85395,,15476.3028,,2.3597904,16640.04079
Belarus,2010,58297.96494,13.10488,15221.88951,,2.4199706,15890.51749
Belarus,2009,56808.56531,32.19523,14968.70654,,2.4199706,16047.75614
Belarus,2008,60328.70211,35.79872,14520.67603,,2.39,15711.54232
Belarus,2007,58279.99684,30.99902,14176.44179,,2.270022,14821.95249
Belarus,2006,59128.46177,30.048152,13804.16461,,1.869936,15079.45704
Belarus,2005,56669.76786,26.18598,13116.4577,,1.4818,14359.8253
Belarus,2004,56258.49785,23.13739,12777.20219,,1.025788,13836.03591
Belarus,2003,52891.32387,19.24131,12210.6862,,0.69071,13439.63936
Belarus,2002,52528.80231,16.38157,11291.90534,,0.495208,12950.29885
Belarus,2001,52347.03092,12.90184,11367.31151,,0.46366,13488.91361
Belarus,2000,53319.27583,9.34836,11421.84734,,0.4063,14414.22344
Belarus,1999,55404.10805,7.97981,11627.46273,,0.371884,14436.1555
Belarus,1998,58064.84995,7.12822,11879.46414,,0.277718,14998.04245
Belarus,1997,59867.95087,5.34362,11920.10349,,0.240434,14936.48058
Belarus,1996,58553.79294,3.67858,11872.42412,,0.046844,14477.91515
Belarus,1995,57599.77278,2.84229,11704.96059,,0.00717,13532.14054
Belarus,1994,64506.22654,,12316.24335,,,14907.43967
Belarus,1993,77204.20693,,13472.94381,,,16929.26059
Belarus,1992,90060.21181,,14143.2594,,,17777.44537
