,Year,LandAverageTemperature,Month,AverageUncertainty,maxAvgTemp,minAvgTemp,Annual CO2 emissions,Coal(Terawatt-Hours),Oil(Terawatt-Hours),Gas(Terawatt-Hours),GMSL,World Population
0,1970,8.700916666666666,6.5,0.07558333333333332,8.7765,8.625333333333334,14845.81498,17059,26708,9614,-39.9,3700437046
1,1971,8.59925,6.5,0.09791666666666668,8.697166666666666,8.501333333333333,15409.71755,16966,28205,10292,-34.7,3775759617
2,1972,8.499583333333334,6.5,0.09533333333333334,8.594916666666666,8.404250000000001,16023.99077,17154,30378,10861,-25.6,3851650245
3,1973,8.948249999999998,6.5,0.10075,9.049,8.847499999999998,16893.36143,17668,32746,11378,-31.6,3927780238
4,1974,8.4675,6.5,0.1045,8.572000000000001,8.363000000000001,16923.578709999998,17682,32272,11656,-19.7,4003794172
5,1975,8.744833333333334,6.5,0.09708333333333334,8.841916666666668,8.64775,16825.64095,18025,31948,11661,-21.3,4079480606
6,1976,8.347249999999999,6.5,0.10058333333333336,8.447833333333334,8.246666666666666,17800.97242,18688,34030,12356,-22.3,4154666864
7,1977,8.850249999999997,6.5,0.08466666666666665,8.934916666666664,8.765583333333332,18355.43923,19241,35215,12761,-24.0,4229506060
8,1978,8.692749999999998,6.5,0.10383333333333336,8.796583333333334,8.588916666666668,18561.69885,19458,36426,13294,-17.6,4304533501
9,1979,8.733416666666665,6.5,0.08641666666666667,8.819833333333333,8.647,19594.22881,20364,37024,14119,-22.5,4380506100
10,1980,8.980333333333332,6.5,0.10666666666666667,9.087000000000002,8.873666666666667,19388.09437,20858,35577,14239,-16.5,4458003514
11,1981,9.165833333333332,6.5,0.08725000000000001,9.253083333333334,9.078583333333333,18787.12262,21150,34296,14394,-4.1,4536996762
12,1982,8.639166666666666,6.5,0.08266666666666668,8.721833333333333,8.556499999999998,18624.07569,21384,33198,14469,-9.9,4617386542
13,1983,9.028166666666666,6.5,0.094,9.122166666666667,8.934166666666668,18549.44804,22045,32969,14703,-1.5,4699569304
14,1984,8.691833333333335,6.5,0.10258333333333336,8.794416666666669,8.589249999999998,19216.86605,23000,33739,15903,-2.4,4784011621
15,1985,8.658,6.5,0.09325,8.751249999999999,8.56475,19792.62184,23986,33789,16261,-12.7,4870921740
16,1986,8.833583333333333,6.5,0.085,8.918583333333332,8.748583333333332,20395.94953,24256,34803,16419,-12.1,4960567912
17,1987,8.994416666666668,6.5,0.08516666666666667,9.079583333333334,8.909250000000002,20912.41349,25210,35499,17281,-11.5,5052522147
