,Year,Annual CO2 emissions
22970,1970,14845.814980000001
22971,1971,15409.71755
22972,1972,16023.990769999999
22973,1973,16893.36143
22974,1974,16923.578709999998
22975,1975,16825.64095
22976,1976,17800.97242
22977,1977,18355.43923
22978,1978,18561.69885
22979,1979,19594.22881
22980,1980,19388.09437
22981,1981,18787.12262
22982,1982,18624.07569
22983,1983,18549.44804
22984,1984,19216.86605
22985,1985,19792.62184
22986,1986,20395.94953
22987,1987,20912.41349
22988,1988,21681.10932
22989,1989,22154.335730000003
22990,1990,22181.80737
22991,1991,22429.37743
22992,1992,22195.10513
22993,1993,22153.14311
22994,1994,22533.83297
22995,1995,23007.42538
22996,1996,23522.97911
22997,1997,23915.3294
22998,1998,23984.9839
22999,1999,23930.56147
23000,2000,24558.69108
23001,2001,25137.99969
23002,2002,25494.19056
23003,2003,26866.738380000003
23004,2004,28187.598939999996
23005,2005,29254.90635
23006,2006,30286.836389999997
23007,2007,30880.1453
23008,2008,31875.7558
23009,2009,31523.142969999997
23010,2010,33066.65121
23011,2011,34357.36592
23012,2012,34919.28871
23013,2013,35207.88598
23014,2014,35505.82704
23015,2015,35462.746739999995
23016,2016,35675.09944
23017,2017,36153.26165
23018,2018,36572.754219999995
