Entity,Code,Year,Annual CO₂ emissions (Global Carbon Project (2017)) (million tonnes)
Afghanistan,AFG,1751,0
Afghanistan,AFG,1752,0
Afghanistan,AFG,1753,0
Afghanistan,AFG,1754,0
Afghanistan,AFG,1755,0
Afghanistan,AFG,1756,0
Afghanistan,AFG,1757,0
Afghanistan,AFG,1758,0
Afghanistan,AFG,1759,0
Afghanistan,AFG,1760,0
Afghanistan,AFG,1761,0
Afghanistan,AFG,1762,0
Afghanistan,AFG,1763,0
Afghanistan,AFG,1764,0
Afghanistan,AFG,1765,0
Afghanistan,AFG,1766,0
Afghanistan,AFG,1767,0
Afghanistan,AFG,1768,0
Afghanistan,AFG,1769,0
Afghanistan,AFG,1770,0
Afghanistan,AFG,1771,0
Afghanistan,AFG,1772,0
Afghanistan,AFG,1773,0
Afghanistan,AFG,1774,0
Afghanistan,AFG,1775,0
Afghanistan,AFG,1776,0
Afghanistan,AFG,1777,0
Afghanistan,AFG,1778,0
Afghanistan,AFG,1779,0
Afghanistan,AFG,1780,0
Afghanistan,AFG,1781,0
Afghanistan,AFG,1782,0
Afghanistan,AFG,1783,0
Afghanistan,AFG,1784,0
Afghanistan,AFG,1785,0
Afghanistan,AFG,1786,0
Afghanistan,AFG,1787,0
Afghanistan,AFG,1788,0
Afghanistan,AFG,1789,0
Afghanistan,AFG,1790,0
Afghanistan,AFG,1791,0
Afghanistan,AFG,1792,0
Afghanistan,AFG,1793,0
Afghanistan,AFG,1794,0
Afghanistan,AFG,1795,0
Afghanistan,AFG,1796,0
Afghanistan,AFG,1797,0
Afghanistan,AFG,1798,0
Afghanistan,AFG,1799,0
Afghanistan,AFG,1800,0
Afghanistan,AFG,1801,0
Afghanistan,AFG,1802,0
Afghanistan,AFG,1803,0
Afghanistan,AFG,1804,0
Afghanistan,AFG,1805,0
Afghanistan,AFG,1806,0
Afghanistan,AFG,1807,0
Afghanistan,AFG,1808,0
Afghanistan,AFG,1809,0
Afghanistan,AFG,1810,0
Afghanistan,AFG,1811,0
Afghanistan,AFG,1812,0
Afghanistan,AFG,1813,0
Afghanistan,AFG,1814,0
Afghanistan,AFG,1815,0
Afghanistan,AFG,1816,0
Afghanistan,AFG,1817,0
Afghanistan,AFG,1818,0
Afghanistan,AFG,1819,0
Afghanistan,AFG,1820,0
Afghanistan,AFG,1821,0
Afghanistan,AFG,1822,0
Afghanistan,AFG,1823,0
Afghanistan,AFG,1824,0
Afghanistan,AFG,1825,0
Afghanistan,AFG,1826,0
Afghanistan,AFG,1827,0
Afghanistan,AFG,1828,0
Afghanistan,AFG,1829,0
Afghanistan,AFG,1830,0
Afghanistan,AFG,1831,0
Afghanistan,AFG,1832,0
Afghanistan,AFG,1833,0
Afghanistan,AFG,1834,0
Afghanistan,AFG,1835,0
Afghanistan,AFG,1836,0
Afghanistan,AFG,1837,0
Afghanistan,AFG,1838,0
Afghanistan,AFG,1839,0
Afghanistan,AFG,1840,0
Afghanistan,AFG,1841,0
Afghanistan,AFG,1842,0
Afghanistan,AFG,1843,0
Afghanistan,AFG,1844,0
Afghanistan,AFG,1845,0
Afghanistan,AFG,1846,0
Afghanistan,AFG,1847,0
Afghanistan,AFG,1848,0
Afghanistan,AFG,1849,0
Afghanistan,AFG,1850,0
Afghanistan,AFG,1851,0
Afghanistan,AFG,1852,0
Afghanistan,AFG,1853,0
Afghanistan,AFG,1854,0
Afghanistan,AFG,1855,0
Afghanistan,AFG,1856,0
Afghanistan,AFG,1857,0
Afghanistan,AFG,1858,0
Afghanistan,AFG,1859,0
Afghanistan,AFG,1860,0
Afghanistan,AFG,1861,0
Afghanistan,AFG,1862,0
Afghanistan,AFG,1863,0
Afghanistan,AFG,1864,0
Afghanistan,AFG,1865,0
Afghanistan,AFG,1866,0
Afghanistan,AFG,1867,0
Afghanistan,AFG,1868,0
Afghanistan,AFG,1869,0
Afghanistan,AFG,1870,0
Afghanistan,AFG,1871,0
Afghanistan,AFG,1872,0
Afghanistan,AFG,1873,0
Afghanistan,AFG,1874,0
Afghanistan,AFG,1875,0
Afghanistan,AFG,1876,0
Afghanistan,AFG,1877,0
Afghanistan,AFG,1878,0
Afghanistan,AFG,1879,0
Afghanistan,AFG,1880,0
Afghanistan,AFG,1881,0
Afghanistan,AFG,1882,0
Afghanistan,AFG,1883,0
Afghanistan,AFG,1884,0
Afghanistan,AFG,1885,0
Afghanistan,AFG,1886,0
Afghanistan,AFG,1887,0
Afghanistan,AFG,1888,0
Afghanistan,AFG,1889,0
Afghanistan,AFG,1890,0
Afghanistan,AFG,1891,0
Afghanistan,AFG,1892,0
Afghanistan,AFG,1893,0
Afghanistan,AFG,1894,0
Afghanistan,AFG,1895,0
Afghanistan,AFG,1896,0
Afghanistan,AFG,1897,0
Afghanistan,AFG,1898,0
Afghanistan,AFG,1899,0
Afghanistan,AFG,1900,0
Afghanistan,AFG,1901,0
Afghanistan,AFG,1902,0
Afghanistan,AFG,1903,0
Afghanistan,AFG,1904,0
Afghanistan,AFG,1905,0
Afghanistan,AFG,1906,0
Afghanistan,AFG,1907,0
Afghanistan,AFG,1908,0
Afghanistan,AFG,1909,0
Afghanistan,AFG,1910,0
Afghanistan,AFG,1911,0
Afghanistan,AFG,1912,0
Afghanistan,AFG,1913,0
Afghanistan,AFG,1914,0
Afghanistan,AFG,1915,0
Afghanistan,AFG,1916,0
Afghanistan,AFG,1917,0
Afghanistan,AFG,1918,0
Afghanistan,AFG,1919,0
Afghanistan,AFG,1920,0
Afghanistan,AFG,1921,0
Afghanistan,AFG,1922,0
Afghanistan,AFG,1923,0
Afghanistan,AFG,1924,0
Afghanistan,AFG,1925,0
Afghanistan,AFG,1926,0
Afghanistan,AFG,1927,0
Afghanistan,AFG,1928,0
Afghanistan,AFG,1929,0
Afghanistan,AFG,1930,0
Afghanistan,AFG,1931,0
Afghanistan,AFG,1932,0
Afghanistan,AFG,1933,0
Afghanistan,AFG,1934,0
Afghanistan,AFG,1935,0
Afghanistan,AFG,1936,0
Afghanistan,AFG,1937,0
Afghanistan,AFG,1938,0
Afghanistan,AFG,1939,0
Afghanistan,AFG,1940,0
Afghanistan,AFG,1941,0
Afghanistan,AFG,1942,0
Afghanistan,AFG,1943,0
Afghanistan,AFG,1944,0
Afghanistan,AFG,1945,0
Afghanistan,AFG,1946,0
Afghanistan,AFG,1947,0
Afghanistan,AFG,1948,0
Afghanistan,AFG,1949,0.01468
Afghanistan,AFG,1950,0.08441
Afghanistan,AFG,1951,0.09175
Afghanistan,AFG,1952,0.09175
Afghanistan,AFG,1953,0.10643
Afghanistan,AFG,1954,0.10643
Afghanistan,AFG,1955,0.15414
Afghanistan,AFG,1956,0.1835
Afghanistan,AFG,1957,0.2936
Afghanistan,AFG,1958,0.3303
Afghanistan,AFG,1959,0.38
Afghanistan,AFG,1960,0.41
Afghanistan,AFG,1961,0.49
Afghanistan,AFG,1962,0.69
Afghanistan,AFG,1963,0.71
Afghanistan,AFG,1964,0.84
Afghanistan,AFG,1965,1.01
Afghanistan,AFG,1966,1.09
Afghanistan,AFG,1967,1.28
Afghanistan,AFG,1968,1.22
Afghanistan,AFG,1969,0.94
Afghanistan,AFG,1970,1.67
Afghanistan,AFG,1971,1.89
Afghanistan,AFG,1972,1.53
Afghanistan,AFG,1973,1.64
Afghanistan,AFG,1974,1.92
Afghanistan,AFG,1975,2.13
Afghanistan,AFG,1976,1.99
Afghanistan,AFG,1977,2.39
Afghanistan,AFG,1978,2.16
Afghanistan,AFG,1979,2.24
Afghanistan,AFG,1980,1.76
Afghanistan,AFG,1981,1.98
Afghanistan,AFG,1982,2.1
Afghanistan,AFG,1983,2.52
Afghanistan,AFG,1984,2.83
Afghanistan,AFG,1985,3.51
Afghanistan,AFG,1986,3.14
Afghanistan,AFG,1987,3.12
Afghanistan,AFG,1988,2.87
Afghanistan,AFG,1989,2.77
Afghanistan,AFG,1990,2.61
Afghanistan,AFG,1991,2.44
Afghanistan,AFG,1992,1.39
Afghanistan,AFG,1993,1.34
Afghanistan,AFG,1994,1.29
Afghanistan,AFG,1995,1.24
Afghanistan,AFG,1996,1.18
Afghanistan,AFG,1997,1.1
Afghanistan,AFG,1998,1.04
Afghanistan,AFG,1999,0.82
Afghanistan,AFG,2000,0.77
Afghanistan,AFG,2001,0.82
Afghanistan,AFG,2002,1.07
Afghanistan,AFG,2003,1.19
Afghanistan,AFG,2004,0.95
Afghanistan,AFG,2005,1.33
Afghanistan,AFG,2006,1.65
Afghanistan,AFG,2007,2.27
Afghanistan,AFG,2008,4.2
Afghanistan,AFG,2009,6.76
Afghanistan,AFG,2010,8.46
Afghanistan,AFG,2011,12.23
Afghanistan,AFG,2012,10.75
Afghanistan,AFG,2013,10.01
Afghanistan,AFG,2014,9.8
Afghanistan,AFG,2015,10.43
Afghanistan,AFG,2016,11.71
Africa,,1959,147.94
Africa,,1960,156.68
Africa,,1961,162.11
Africa,,1962,166.46
Africa,,1963,176.49
Africa,,1964,193.81
Africa,,1965,213.83
Africa,,1966,221.36
Africa,,1967,237.43
Africa,,1968,257.74
Africa,,1969,278.42
Africa,,1970,303.23
Africa,,1971,332.54
Africa,,1972,352.63
Africa,,1973,378.85
Africa,,1974,389.3
Africa,,1975,387.97
Africa,,1976,421.07
Africa,,1977,434
Africa,,1978,463.66
Africa,,1979,500.48
Africa,,1980,537.71
Africa,,1981,550.69
Africa,,1982,574.02
Africa,,1983,596.83
Africa,,1984,651.74
Africa,,1985,668.34
Africa,,1986,692.27
Africa,,1987,692.54
Africa,,1988,728.02
Africa,,1989,701.26
Africa,,1990,661.18
Africa,,1991,690.51
Africa,,1992,673.53
Africa,,1993,713.48
Africa,,1994,725.07
Africa,,1995,780.56
Africa,,1996,799.06
Africa,,1997,818.97
Africa,,1998,841.66
Africa,,1999,834.6
Africa,,2000,891.75
Africa,,2001,886.79
Africa,,2002,892.33
Africa,,2003,970.05
Africa,,2004,1042.15
Africa,,2005,1054.84
Africa,,2006,1095.84
Africa,,2007,1140.44
Africa,,2008,1193.78
Africa,,2009,1203.87
Africa,,2010,1210.67
Africa,,2011,1216.07
Africa,,2012,1254.78
Africa,,2013,1272.56
Africa,,2014,1313.21
Africa,,2015,1314.01
Africa,,2016,1332.02
Albania,ALB,1751,0
Albania,ALB,1752,0
Albania,ALB,1753,0
Albania,ALB,1754,0
Albania,ALB,1755,0
Albania,ALB,1756,0
Albania,ALB,1757,0
Albania,ALB,1758,0
Albania,ALB,1759,0
Albania,ALB,1760,0
Albania,ALB,1761,0
Albania,ALB,1762,0
Albania,ALB,1763,0
Albania,ALB,1764,0
Albania,ALB,1765,0
Albania,ALB,1766,0
Albania,ALB,1767,0
Albania,ALB,1768,0
Albania,ALB,1769,0
Albania,ALB,1770,0
Albania,ALB,1771,0
Albania,ALB,1772,0
Albania,ALB,1773,0
Albania,ALB,1774,0
Albania,ALB,1775,0
Albania,ALB,1776,0
Albania,ALB,1777,0
Albania,ALB,1778,0
Albania,ALB,1779,0
Albania,ALB,1780,0
Albania,ALB,1781,0
Albania,ALB,1782,0
Albania,ALB,1783,0
Albania,ALB,1784,0
Albania,ALB,1785,0
Albania,ALB,1786,0
Albania,ALB,1787,0
Albania,ALB,1788,0
Albania,ALB,1789,0
Albania,ALB,1790,0
Albania,ALB,1791,0
Albania,ALB,1792,0
Albania,ALB,1793,0
Albania,ALB,1794,0
Albania,ALB,1795,0
Albania,ALB,1796,0
Albania,ALB,1797,0
Albania,ALB,1798,0
Albania,ALB,1799,0
Albania,ALB,1800,0
Albania,ALB,1801,0
Albania,ALB,1802,0
Albania,ALB,1803,0
Albania,ALB,1804,0
Albania,ALB,1805,0
Albania,ALB,1806,0
Albania,ALB,1807,0
Albania,ALB,1808,0
Albania,ALB,1809,0
Albania,ALB,1810,0
Albania,ALB,1811,0
Albania,ALB,1812,0
Albania,ALB,1813,0
Albania,ALB,1814,0
Albania,ALB,1815,0
Albania,ALB,1816,0
Albania,ALB,1817,0
Albania,ALB,1818,0
Albania,ALB,1819,0
Albania,ALB,1820,0
Albania,ALB,1821,0
Albania,ALB,1822,0
Albania,ALB,1823,0
Albania,ALB,1824,0
Albania,ALB,1825,0
Albania,ALB,1826,0
Albania,ALB,1827,0
Albania,ALB,1828,0
Albania,ALB,1829,0
Albania,ALB,1830,0
Albania,ALB,1831,0
Albania,ALB,1832,0
Albania,ALB,1833,0
Albania,ALB,1834,0
Albania,ALB,1835,0
Albania,ALB,1836,0
Albania,ALB,1837,0
Albania,ALB,1838,0
Albania,ALB,1839,0
Albania,ALB,1840,0
Albania,ALB,1841,0
Albania,ALB,1842,0
Albania,ALB,1843,0
Albania,ALB,1844,0
Albania,ALB,1845,0
Albania,ALB,1846,0
Albania,ALB,1847,0
Albania,ALB,1848,0
Albania,ALB,1849,0
Albania,ALB,1850,0
Albania,ALB,1851,0
Albania,ALB,1852,0
Albania,ALB,1853,0
Albania,ALB,1854,0
Albania,ALB,1855,0
Albania,ALB,1856,0
Albania,ALB,1857,0
Albania,ALB,1858,0
Albania,ALB,1859,0
Albania,ALB,1860,0
Albania,ALB,1861,0
Albania,ALB,1862,0
Albania,ALB,1863,0
Albania,ALB,1864,0
Albania,ALB,1865,0
Albania,ALB,1866,0
Albania,ALB,1867,0
Albania,ALB,1868,0
Albania,ALB,1869,0
Albania,ALB,1870,0
Albania,ALB,1871,0
Albania,ALB,1872,0
Albania,ALB,1873,0
Albania,ALB,1874,0
Albania,ALB,1875,0
Albania,ALB,1876,0
Albania,ALB,1877,0
Albania,ALB,1878,0
Albania,ALB,1879,0
Albania,ALB,1880,0
Albania,ALB,1881,0
Albania,ALB,1882,0
Albania,ALB,1883,0
Albania,ALB,1884,0
Albania,ALB,1885,0
Albania,ALB,1886,0
Albania,ALB,1887,0
Albania,ALB,1888,0
Albania,ALB,1889,0
Albania,ALB,1890,0
Albania,ALB,1891,0
Albania,ALB,1892,0
Albania,ALB,1893,0
Albania,ALB,1894,0
Albania,ALB,1895,0
Albania,ALB,1896,0
Albania,ALB,1897,0
Albania,ALB,1898,0
Albania,ALB,1899,0
Albania,ALB,1900,0
Albania,ALB,1901,0
Albania,ALB,1902,0
Albania,ALB,1903,0
Albania,ALB,1904,0
Albania,ALB,1905,0
Albania,ALB,1906,0
Albania,ALB,1907,0
Albania,ALB,1908,0
Albania,ALB,1909,0
Albania,ALB,1910,0
Albania,ALB,1911,0
Albania,ALB,1912,0
Albania,ALB,1913,0
Albania,ALB,1914,0
Albania,ALB,1915,0
Albania,ALB,1916,0
Albania,ALB,1917,0
Albania,ALB,1918,0
Albania,ALB,1919,0
Albania,ALB,1920,0
Albania,ALB,1921,0
Albania,ALB,1922,0
Albania,ALB,1923,0
Albania,ALB,1924,0
Albania,ALB,1925,0
Albania,ALB,1926,0
Albania,ALB,1927,0
Albania,ALB,1928,0
Albania,ALB,1929,0
Albania,ALB,1930,0
Albania,ALB,1931,0
Albania,ALB,1932,0
Albania,ALB,1933,0.00734
Albania,ALB,1934,0.00734
Albania,ALB,1935,0.01835
Albania,ALB,1936,0.12845
Albania,ALB,1937,0.29727
Albania,ALB,1938,0.34865
Albania,ALB,1939,0.43306
Albania,ALB,1940,0.69363
Albania,ALB,1941,0.62757
Albania,ALB,1942,0.74501
Albania,ALB,1943,0.46242
Albania,ALB,1944,0.15414
Albania,ALB,1945,0.12111
Albania,ALB,1946,0.48444
Albania,ALB,1947,0.92851
Albania,ALB,1948,0.70464
Albania,ALB,1949,1.01659
Albania,ALB,1950,0.29727
Albania,ALB,1951,0.4037
Albania,ALB,1952,0.37434
Albania,ALB,1953,0.41471
Albania,ALB,1954,0.50279
Albania,ALB,1955,0.66427
Albania,ALB,1956,0.84043
Albania,ALB,1957,1.50837
Albania,ALB,1958,1.20376
Albania,ALB,1959,1.44
Albania,ALB,1960,2.02
Albania,ALB,1961,2.28
Albania,ALB,1962,2.46
Albania,ALB,1963,2.08
Albania,ALB,1964,2.02
Albania,ALB,1965,2.17
Albania,ALB,1966,2.55
Albania,ALB,1967,2.68
Albania,ALB,1968,3.07
Albania,ALB,1969,3.24
Albania,ALB,1970,3.74
Albania,ALB,1971,4.35
Albania,ALB,1972,5.64
Albania,ALB,1973,5.29
Albania,ALB,1974,4.34
Albania,ALB,1975,4.59
Albania,ALB,1976,4.95
Albania,ALB,1977,5.72
Albania,ALB,1978,6.49
Albania,ALB,1979,7.58
Albania,ALB,1980,5.17
Albania,ALB,1981,7.34
Albania,ALB,1982,7.3
Albania,ALB,1983,7.62
Albania,ALB,1984,7.82
Albania,ALB,1985,7.87
Albania,ALB,1986,8.05
Albania,ALB,1987,7.44
Albania,ALB,1988,7.32
Albania,ALB,1989,8.98
Albania,ALB,1990,5.51
Albania,ALB,1991,4.28
Albania,ALB,1992,2.51
Albania,ALB,1993,2.33
Albania,ALB,1994,1.92
Albania,ALB,1995,2.08
Albania,ALB,1996,2.02
Albania,ALB,1997,1.54
Albania,ALB,1998,1.75
Albania,ALB,1999,2.98
Albania,ALB,2000,3.02
Albania,ALB,2001,3.22
Albania,ALB,2002,3.75
Albania,ALB,2003,4.29
Albania,ALB,2004,4.16
Albania,ALB,2005,4.25
Albania,ALB,2006,3.89
Albania,ALB,2007,3.92
Albania,ALB,2008,4.37
Albania,ALB,2009,4.37
Albania,ALB,2010,4.59
Albania,ALB,2011,5.24
Albania,ALB,2012,4.91
Albania,ALB,2013,5.06
Albania,ALB,2014,5.71
Albania,ALB,2015,5.88
Albania,ALB,2016,6.02
Algeria,DZA,1751,0
Algeria,DZA,1752,0
Algeria,DZA,1753,0
Algeria,DZA,1754,0
Algeria,DZA,1755,0
Algeria,DZA,1756,0
Algeria,DZA,1757,0
Algeria,DZA,1758,0
Algeria,DZA,1759,0
Algeria,DZA,1760,0
Algeria,DZA,1761,0
Algeria,DZA,1762,0
Algeria,DZA,1763,0
Algeria,DZA,1764,0
Algeria,DZA,1765,0
Algeria,DZA,1766,0
Algeria,DZA,1767,0
Algeria,DZA,1768,0
Algeria,DZA,1769,0
Algeria,DZA,1770,0
Algeria,DZA,1771,0
Algeria,DZA,1772,0
Algeria,DZA,1773,0
Algeria,DZA,1774,0
Algeria,DZA,1775,0
Algeria,DZA,1776,0
Algeria,DZA,1777,0
Algeria,DZA,1778,0
Algeria,DZA,1779,0
Algeria,DZA,1780,0
Algeria,DZA,1781,0
Algeria,DZA,1782,0
Algeria,DZA,1783,0
Algeria,DZA,1784,0
Algeria,DZA,1785,0
Algeria,DZA,1786,0
Algeria,DZA,1787,0
Algeria,DZA,1788,0
Algeria,DZA,1789,0
Algeria,DZA,1790,0
Algeria,DZA,1791,0
Algeria,DZA,1792,0
Algeria,DZA,1793,0
Algeria,DZA,1794,0
Algeria,DZA,1795,0
Algeria,DZA,1796,0
Algeria,DZA,1797,0
Algeria,DZA,1798,0
Algeria,DZA,1799,0
Algeria,DZA,1800,0
Algeria,DZA,1801,0
Algeria,DZA,1802,0
