,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions,Clear,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",Snow,"Snow, Overcast","Snow, Partially cloudy"
0,russia,01/01/1970,10.1,-2.1,4.7,0.0,13.9,6.2,48.3,84.54,Partially cloudy,0,0,1,0,0,0,0,0,0
1,russia,01/02/1970,19.1,-3.9,10.4,0.0,18.3,3.1,87.5,89.14,Overcast,0,1,0,0,0,0,0,0,0
2,russia,01/03/1970,28.1,20.9,25.5,0.0,18.3,3.7,92.5,91.09,Overcast,0,1,0,0,0,0,0,0,0
3,russia,01/04/1970,26.9,20.9,22.7,0.0,16.1,3.7,97.5,89.49,Overcast,0,1,0,0,0,0,0,0,0
4,russia,01/05/1970,32.1,28.1,29.5,0.0,16.1,2.7,100.0,92.43,Overcast,0,1,0,0,0,0,0,0,0
5,russia,01/06/1970,35.9,32.1,34.2,0.0,18.3,4.0,100.0,91.57,Overcast,0,1,0,0,0,0,0,0,0
6,russia,01/07/1970,34.1,25.1,29.6,0.0,11.4,6.2,71.3,83.77,Partially cloudy,0,0,1,0,0,0,0,0,0
7,russia,01/08/1970,32.1,25.1,27.9,0.0,13.9,2.1,100.0,95.75,Overcast,0,1,0,0,0,0,0,0,0
8,russia,01/09/1970,34.1,19.1,24.6,0.0,9.2,2.1,100.0,93.21,Overcast,0,1,0,0,0,0,0,0,0
9,russia,01/10/1970,16.1,7.1,11.3,0.0,18.3,4.6,52.5,86.75,Partially cloudy,0,0,1,0,0,0,0,0,0
10,russia,01/11/1970,2.9,-2.1,0.5,0.0,6.9,6.2,26.3,90.75,Partially cloudy,0,0,1,0,0,0,0,0,0
11,russia,01/12/1970,17.9,-3.9,5.0,0.0,13.9,2.6,55.7,92.37,Partially cloudy,0,0,1,0,0,0,0,0,0
12,russia,01/13/1970,25.1,19.1,23.3,0.0,13.9,2.5,100.0,93.91,Overcast,0,1,0,0,0,0,0,0,0
13,russia,01/14/1970,29.9,25.1,27.3,0.0,11.4,1.9,87.5,94.85,Overcast,0,1,0,0,0,0,0,0,0
