,Year,Annual CO2 emissions
1650,1970,147.4797686
1651,1971,152.6295362
1652,1972,157.33554469999999
1653,1973,170.8273945
1654,1974,172.1893862
1655,1975,175.71392609999998
1656,1976,174.0746968
1657,1977,187.60486630000003
1658,1978,201.82017869999999
1659,1979,204.869575
1660,1980,220.5310006
1661,1981,230.1326432
1662,1982,233.88864640000003
1663,1983,224.7850137
1664,1984,236.36119240000002
1665,1985,240.9879724
1666,1986,239.72221859999996
1667,1987,255.8502237
1668,1988,260.8787955
1669,1989,277.4856078
1670,1990,278.4243757
1671,1991,279.8723639
1672,1992,284.9121243
1673,1993,289.2348565
1674,1994,294.0146104
1675,1995,305.40979930000003
1676,1996,312.36121
1677,1997,320.79469639999996
1678,1998,334.6841065
1679,1999,344.0633362
1680,2000,350.1945818
1681,2001,357.6687428
1682,2002,362.2090938
1683,2003,369.7255528
1684,2004,383.20465089999993
1685,2005,386.5149167
1686,2006,392.6818732
1687,2007,400.41540939999993
1688,2008,405.0485372
1689,2009,408.344935
1690,2010,406.4259421
1691,2011,404.2636951
1692,2012,406.9869849
1693,2013,398.05159110000005
1694,2014,393.2885318
1695,2015,402.53756489999995
1696,2016,413.1573917
1697,2017,417.04127789999995
1698,2018,420.22085610000005
