Country_or_place,Period_of_time,Year(a),Long_term _average_annual_precipitation_in_depth_(mm/year),Data_source(a),Observations(a),Year(b),Long-term_average_annual_precipitation_in_volume_(10^9 m3/year),Data_source(b),Observations(b),Year(c),National_Rainfall_Index_(NRI)_(mm/year),Data_source(c),Observations(c)
Afghanistan,1958-1962,1962,327,,No_observation,1962,213.5,K,No_observation,,,,No_observation
Afghanistan,1963-1967,1967,327,,No_observation,1967,213.5,K,No_observation,1964,307,E,No_observation
Afghanistan,1968-1972,1972,327,,No_observation,1972,213.5,K,No_observation,1969,276.2,E,No_observation
Afghanistan,1973-1977,1977,327,,No_observation,1977,213.5,K,No_observation,1974,279.7,E,No_observation
Afghanistan,1978-1982,1982,327,,No_observation,1982,213.5,K,No_observation,1980,322.3,E,No_observation
Afghanistan,1983-1987,1987,327,,No_observation,1987,213.5,K,No_observation,1986,267.4,E,No_observation
Afghanistan,1988-1992,1992,327,,No_observation,1992,213.5,K,No_observation,1988,336.9,E,No_observation
Afghanistan,1993-1997,1997,327,,No_observation,1997,213.5,K,No_observation,1993,297,E,No_observation
Afghanistan,1998-2002,2002,327,,No_observation,2002,213.5,K,No_observation,2000,185,E,No_observation
Afghanistan,2003-2007,2007,327,,No_observation,2007,213.5,K,No_observation,,,,No_observation
Afghanistan,2008-2012,2012,327,,No_observation,2012,213.5,K,No_observation,,,,No_observation
Afghanistan,2013-2017,2017,327,,No_observation,2017,213.5,K,No_observation,,,,No_observation
Albania,1958-1962,1962,1485,E,No_observation,1962,42.69,E,No_observation,,,,No_observation
Albania,1963-1967,1967,1485,E,No_observation,1967,42.69,E,No_observation,1964,1312,E,No_observation
Albania,1968-1972,1972,1485,E,No_observation,1972,42.69,E,No_observation,1968,1343,E,No_observation
Albania,1973-1977,1977,1485,E,No_observation,1977,42.69,E,No_observation,1973,1344,E,No_observation
Albania,1978-1982,1982,1485,E,No_observation,1982,42.69,E,No_observation,1978,1326,E,No_observation
Albania,1983-1987,1987,1485,E,No_observation,1987,42.69,E,No_observation,1984,1062,E,No_observation
Albania,1988-1992,1992,1485,E,No_observation,1992,42.69,E,No_observation,1990,839.2,E,No_observation
Albania,1993-1997,1997,1485,E,No_observation,1997,42.69,E,No_observation,1994,1053,E,No_observation
Albania,1998-2002,2002,1485,E,No_observation,2002,42.69,E,No_observation,2002,1136,E,No_observation
Albania,2003-2007,2007,1485,E,No_observation,2007,42.69,E,No_observation,,,,No_observation
Albania,2008-2012,2012,1485,E,No_observation,2012,42.69,E,No_observation,,,,No_observation
Albania,2013-2017,2017,1485,E,No_observation,2017,42.69,E,No_observation,,,,No_observation
Algeria,1958-1962,1962,89,E,No_observation,1962,212,E,No_observation,,,,No_observation
Algeria,1963-1967,1967,89,E,No_observation,1967,212,E,No_observation,1964,288.8,E,No_observation
Algeria,1968-1972,1972,89,E,No_observation,1972,212,E,No_observation,1971,311.9,E,No_observation
Algeria,1973-1977,1977,89,E,No_observation,1977,212,E,No_observation,1974,289.8,E,No_observation
Algeria,1978-1982,1982,89,E,No_observation,1982,212,E,No_observation,1980,325.7,E,No_observation
Algeria,1983-1987,1987,89,E,No_observation,1987,212,E,No_observation,1985,288.3,E,No_observation
Algeria,1988-1992,1992,89,E,No_observation,1992,212,E,No_observation,1991,302.3,E,No_observation
Algeria,1993-1997,1997,89,E,No_observation,1997,212,E,No_observation,1995,258.9,E,No_observation
Algeria,1998-2002,2002,89,E,No_observation,2002,212,E,No_observation,1998,241.5,E,No_observation
Algeria,2003-2007,2007,89,E,No_observation,2007,212,E,No_observation,,,,No_observation
Algeria,2008-2012,2012,89,E,No_observation,2012,212,E,No_observation,,,,No_observation
Algeria,2013-2017,2017,89,E,No_observation,2017,212,E,No_observation,,,,No_observation
Andorra,1958-1962,,,,No_observation,1962,0.4724,E,No_observation,,,,No_observation
Andorra,1963-1967,,,,No_observation,1967,0.4724,E,No_observation,,,,No_observation
Andorra,1968-1972,,,,No_observation,1972,0.4724,E,No_observation,,,,No_observation
Andorra,1973-1977,,,,No_observation,1977,0.4724,E,No_observation,,,,No_observation
Andorra,1978-1982,,,,No_observation,1982,0.4724,E,No_observation,,,,No_observation
Andorra,1983-1987,,,,No_observation,1987,0.4724,E,No_observation,,,,No_observation
Andorra,1988-1992,,,,No_observation,1992,0.4724,E,No_observation,,,,No_observation
Andorra,1993-1997,,,,No_observation,1997,0.4724,E,No_observation,,,,No_observation
Andorra,1998-2002,,,,No_observation,2002,0.4724,E,No_observation,,,,No_observation
Andorra,2003-2007,,,,No_observation,2007,0.4724,E,No_observation,,,,No_observation
Andorra,2008-2012,,,,No_observation,2012,0.4724,E,No_observation,,,,No_observation
Andorra,2013-2017,,,,No_observation,2017,0.4724,E,No_observation,,,,No_observation
Angola,1958-1962,1962,1010,E,No_observation,1962,1259,E,No_observation,,,,No_observation
Angola,1963-1967,1967,1010,E,No_observation,1967,1259,E,No_observation,1967,1114,E,No_observation
Angola,1968-1972,1972,1010,E,No_observation,1972,1259,E,No_observation,1970,1163,E,No_observation
Angola,1973-1977,1977,1010,E,No_observation,1977,1259,E,No_observation,1975,1149,E,No_observation
Angola,1978-1982,1982,1010,E,No_observation,1982,1259,E,No_observation,1982,1024,E,No_observation
Angola,1983-1987,1987,1010,E,No_observation,1987,1259,E,No_observation,1986,1110,E,No_observation
Angola,1988-1992,1992,1010,E,No_observation,1992,1259,E,No_observation,1990,1122,E,No_observation
Angola,1993-1997,1997,1010,E,No_observation,1997,1259,E,No_observation,1994,1080,E,No_observation
Angola,1998-2002,2002,1010,E,No_observation,2002,1259,E,No_observation,1999,1137,E,No_observation
Angola,2003-2007,2007,1010,E,No_observation,2007,1259,E,No_observation,,,,No_observation
Angola,2008-2012,2012,1010,E,No_observation,2012,1259,E,No_observation,,,,No_observation
Angola,2013-2017,2017,1010,E,No_observation,2017,1259,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1958-1962,1962,1030,E,No_observation,1962,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1963-1967,1967,1030,E,No_observation,1967,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1968-1972,1972,1030,E,No_observation,1972,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1973-1977,1977,1030,E,No_observation,1977,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1978-1982,1982,1030,E,No_observation,1982,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1983-1987,1987,1030,E,No_observation,1987,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1988-1992,1992,1030,E,No_observation,1992,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1993-1997,1997,1030,E,No_observation,1997,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,1998-2002,2002,1030,E,No_observation,2002,0.4532,E,No_observation,,,,No_observation
Antigua_and_Barbuda,2003-2007,2007,1030,E,No_observation,2007,0.4532,E,No_observation,,,,No_observation
