GMSL,year
-44.3,1960
-38.1,1961
-43.3,1962
-44.9,1963
-52.8,1964
-41.6,1965
-47,1966
-45.6,1967
-44.8,1968
-38,1969
-39.9,1970
-34.7,1971
-25.6,1972
-31.6,1973
-19.7,1974
-21.3,1975
-22.3,1976
-24,1977
-17.6,1978
-22.5,1979
-16.5,1980
-4.1,1981
-9.9,1982
-1.5,1983
-2.4,1984
-12.7,1985
-12.1,1986
-11.5,1987
-6.8,1988
-2.3,1989
0,1990
2.5,1991
3.2,1992
1.4,1993
6.6,1994
9.5,1995
13.6,1996
20.6,1997
10.7,1998
19.2,1999
20.5,2000
26,2001
28.4,2002
37.6,2003
37.2,2004
37.3,2005
41.6,2006
43.5,2007
52.2,2008
58,2009
65.7,2010
67.3,2011
76.1,2012
67.7,2013
71.3,2014
72.6,2015
75.8,2016
79.2,2017
82.3,2018
83.4,2019
